1801,,EA1B,C0,01,,,,,,SUBB,#$01,ADJUST OUT MODE 0 (WHY NOT DECB)
1909,,EAD4,34,10,,,,,,PSHS,X,SAVE HORIZONTAL OFFSET
1910,,EAD6,BD,EB,BD,,,,,JSR,LEBBD,CALCULATE VERTICAL OFFSET
1911,,EAD9,35,20,,,,,,PULS,Y,PUT HORIZONTAL OFFSET IN Y
1912,,EADB,A6,E4,,,,,,LDA,",S",GET OCTANT NUMBER
1913,,EADD,84,03,,,,,,ANDA,#$03,MASK OFF BOTTOM TWO BITS
1914,,EADF,27,06,,,,,,BEQ,LEAE7,BRANCH IF OCTANT 0 OR 4
1915,,EAE1,81,03,,,,,,CMPA,#$03,NOW SEE IF BOTH BITS WERE SET
1916,,EAE3,27,02,,,,,,BEQ,LEAE7,BRANCH IF OCTANT 3 OR 7
1917,,EAE5,1E,12,,,,,,EXG,"X,Y",SWAP HORIZONTAL AND VERTICAL OFFSETS
1918,,EAE7,9F,C3,,,,,LEAE7,STX,HOREND,SAVE HORIZONTAL OFFSET
1919,,,,,,,,,* H/W RATIO WILL ONLY MODIFY THE VERTICAL COORD,,,
1920,,EAE9,1F,20,,,,,,TFR,"Y,D",PUT CALCULATED VERTICAL OFFSET INTO ACCD
1921,,EAEB,44,,,,,,,LSRA,,
1922,,EAEC,56,,,,,,,RORB,,DIVIDE OFFSET BY 2
1923,,EAED,9E,D1,,,,,,LDX,VD1,GET H/W RATIO
1924,,EAEF,BD,EB,CB,,,,,JSR,LEBCB,MULT VERTICAL OFFSET BY H/W RATIO
1925,,EAF2,1F,20,,,,,,TFR,"Y,D",TRANSFER PRODUCT TO ACCD
1926,,EAF4,4D,,,,,,,TSTA,,CHECK OVERFLOW AND GET MS BYTE RESULT
1927,,EAF5,10,26,C9,51,,,,LBNE,ILLFUNC,ILLEGAL FUNCTION CALL ERROR (RESULT > 255)
1928,,EAF9,D7,C5,,,,,,STB,VEREND,SAVE DELTA VERTICAL MS BYTE
1929,,EAFB,1F,30,,,,,,TFR,"U,D",LS BYTE RESULT TO ACCA
1930,,EAFD,97,C6,,,,,,STA,VEREND+1,SAVE DELTA VERTICAL LS BYTE
1931,,EAFF,A6,E4,,,,,,LDA,",S",GET OCTANT NUMBER
1932,,EB01,81,02,,,,,,CMPA,#$02,"CHECK FOR OCTANT 0,1,6,7"
1933,,EB03,25,0E,,,,,,BCS,LEB13,BRANCH IF SUBARC HORIZONTAL END POINT >= HORIZONTAL CENTER
1934,,EB05,81,06,,,,,,CMPA,#$06,"MORE CHECKS FOR OCTANT 0,1,6,7"
1935,,EB07,24,0A,,,,,,BCC,LEB13,BRANCH IF SUBARC HORIZONTAL END POINT >= HORIZONTAL CENTER
1936,,EB09,DC,CB,,,,,,LDD,VCB,GET HORIZONTAL COORD OF CENTER
1937,,EB0B,93,C3,,,,,,SUBD,HOREND,SUBTRACT HORIZONTAL DIFFERENCE
1938,,EB0D,24,11,,,,,,BCC,LEB20,BRANCH IF NO UNDERFLOW
1939,,EB0F,4F,,,,,,,CLRA,,
1940,,EB10,5F,,,,,,,CLRB,,FORCE COORD TO 0 IF RESULT WAS LESS THAN 0
1941,,EB11,20,0D,,,,,,BRA,LEB20,SAVE NEW COORD
1942,,EB13,DC,CB,,,,,LEB13,LDD,VCB,GET HORIZONTAL COORD OF CENTER
1943,,EB15,D3,C3,,,,,,ADDD,HOREND,ADD HORIZONTAL DIFFERENCE
1944,,EB17,25,05,,,,,,BCS,LEB1E,BRANCH IF OVERFLOW
1945,,EB19,10,93,D3,,,,,CMPD,VD3,COMPARE TO MAX HORIZONTAL COORDINATE
1946,,EB1C,25,02,,,,,,BCS,LEB20,BRANCH IF < MAX HOR
1947,,EB1E,DC,D3,,,,,LEB1E,LDD,VD3,GET MAX HORIZONTAL COORD
1948,,EB20,DD,C3,,,,,LEB20,STD,HOREND,SAVE NEW HORIZONTAL SUBARC END COORD
1949,,EB22,A6,E4,,,,,,LDA,",S",GET OCTANT NUMBER
1950,,EB24,81,04,,,,,,CMPA,#$04,"CHECK FOR OCTANT 0,1,2 OR 3"
1951,,EB26,25,0A,,,,,,BCS,LEB32,BRANCH IF SUBARC VERTICAL END POINT >= VERTICAL CENTER
1952,,EB28,DC,CD,,,,,,LDD,VCD,GET VERTICAL COORD OF CENTER
1953,,EB2A,93,C5,,,,,,SUBD,VEREND,SUBTRACT VERTICAL DIFFERENCE
1954,,EB2C,24,11,,,,,,BCC,LEB3F,BRANCH IF NO UNDERFLOW
1955,,EB2E,4F,,,,,,,CLRA,,
1956,,EB2F,5F,,,,,,,CLRB,,FORCE NEW VERTICAL TO 0 IF MINUS
1957,,EB30,20,0D,,,,,,BRA,LEB3F,SAVE NEW COORD
1958,,EB32,DC,CD,,,,,LEB32,LDD,VCD,GET VERTICAL COORD OF CENTER
1959,,EB34,D3,C5,,,,,,ADDD,VEREND,ADD VERTICAL DIFFERENCE
1960,,EB36,25,05,,,,,,BCS,LEB3D,BRANCH IF OVERFLOW
1961,,EB38,10,93,D5,,,,,CMPD,VD5,COMPARE TO MAX VERTICAL COORD
1962,,EB3B,25,02,,,,,,BCS,LEB3F,BRANCH IF < MAX VER
1963,,EB3D,DC,D5,,,,,LEB3D,LDD,VD5,GET MAX VERTICAL COORD
1964,,EB3F,DD,C5,,,,,LEB3F,STD,VEREND,SAVE NEW VERTICAL SUBARC END COORD
1965,,EB41,0D,D8,,,,,,TST,VD8,CHECK FIRST TIME FLAG
1966,,EB43,26,03,,,,,,BNE,LEB48,DO NOT DRAWE A LINE FIRST TIME THROUGH -
1967,,,,,,,,,,,,BECAUSE THE FIRST TIME YOU WOULD DRAW A LINE
1968,,,,,,,,,,,,FROM THE CENTER TO THE FIRST POINT ON THE CIRCLE
1969,,EB45,17,FE,06,,,,,LBSR,LE94E,DRAW A LINE
1970,,EB48,35,06,,,,,LEB48,PULS,"A,B",GET END COORDS
1971,,EB4A,04,D8,,,,,,LSR,VD8,SHIFT FIRST TIME FLAG
1972,,EB4C,25,05,,,,,,BCS,LEB53,DO NOT CHECK FOR END POINT AFTER DRAWING FIRST ARC
1973,,EB4E,10,93,D9,,,,,CMPD,VD9,COMPARE CURRENT POSITION TO END POINT
1974,,EB51,27,0C,,,,,,BEQ,LEB5F,BRANCH IF CIRCLE DRAWING IS FINISHED
1975,,,,,,,,,"* INCREMENT SUBARC CTR, IF . 7 THEN INC OCTANT CTR",,,
1976,,EB53,5C,,,,,,LEB53,INCB,,INC SUBARC COUNTER
1977,,EB54,C1,08,,,,,,CMPB,#$08,> 7?
1978,,EB56,26,04,,,,,,BNE,LEB5C,BRANCH IF NOT
1979,,EB58,4C,,,,,,,INCA,,INCR OCTANT COUNTER
1980,,EB59,5F,,,,,,,CLRB,,RESET SUBARC COUNTER
1981,,EB5A,84,07,,,,,,ANDA,#$07,"KEEP IN RANGE OF 0-7; ONCE ACCA=ACCB, THIS WILL MAKE ACCA=0"
1982,,,,,,,,,,,,"SO THE END POINT WILL BE (0,0) AND THE CIRCLE ROUTINE WILL END"
1983,,EB5C,7E,EA,B3,,,,LEB5C,JMP,LEAB3,KEEP DRAWING THE CIRCLE
1984,,EB5F,39,,,,,,LEB5F,RTS,,EXIT CIRCLE ROUTINE
1985,,,,,,,,,,,,
1986,,,,,,,,,* GET MAXIMUM VALUE OF HORIZONTAL & VERTICAL COORDINATES NORMALIZED FOR,,,
1987,,,,,,,,,"* PROPER GRAPHICS MODE. RETURN VALUES: HORIZONTAL IN VD3, VERTICAL IN VD5",,,
1988,,EB60,CE,00,D3,,,,LEB60,LDU,#VD3,POINT U TO STORAGE AREA
1989,,EB63,8E,02,7F,,,,,LDX,#640-1,GET MAXIMUM HORIZONTAL COORD
1990,,EB66,AF,C4,,,,,,STX,",U",SAVE IT
1991,,EB68,96,E6,,,,,,LDA,HRMODE,GET CURRENT GRAPHICS MODE
1992,,EB6A,81,02,,,,,,CMPA,#$02,SEE WHICH MODE
1993,,EB6C,2E,05,,,,,,BGT,LEB73,BRANCH IF MODES 3 OR 4
1994,,EB6E,8E,01,3F,,,,,LDX,#320-1,MAXIMUM VALUE FOR HORIZONTAL COORD IN MODES 1 AND 2
1995,,EB71,AF,C4,,,,,,STX,",U",SAVE IT
1996,,EB73,8E,00,BF,,,,LEB73,LDX,#192-1,GET THE MAXIMUM VERTICAL COORD
1997,,EB76,AF,42,,,,,,STX,"$02,U",SAVE IT
1998,,EB78,7E,E7,B0,,,,,JMP,LE7B0,JUMP TO AN RTS; ONCE WAS A NORMALIZATION ROUTINE
1999,,,,,,,,,,,,
2000,,,,,,,,,"* EVALUATE CIRCLE START POINT (OCTANT, SUBARC)",,,
2001,,,,,,,,,* CALCULATE START OF END POINT WHICH IS A NUMBER FROM,,,
2002,,,,,,,,,* 0-63 SAVED AS AN OCTANT NUMBER (0-7) AND SUBARC NUMBER (0-7),,,
2003,,EB7B,5F,,,,,,LEB7B,CLRB,,SET DEFAULT VALUE TO 0
2004,,EB7C,9D,A5,,,,,,JSR,GETCCH,GET BASIC'S CURRENT INPUT CHARACTER
2005,,EB7E,27,11,,,,,,BEQ,LEB91,BRANCH IF NONE
2006,,EB80,BD,B2,6D,,,,,JSR,SYNCOMMA,DO A SYNTAX CHECK FOR A COMMA
2007,,EB83,BD,B1,41,,,,,JSR,LB141,EVALUATE A NUMERIC EXPRESSION
2008,,EB86,96,4F,,,,,,LDA,FP0EXP,GET EXPONENT OF FPA0
2009,,EB88,8B,06,,,,,,ADDA,#$06,ADD 6 TO EXPONENT - MULTIPLY EXPONENT BY 64
2010,,EB8A,97,4F,,,,,,STA,FP0EXP,RESAVE IT
2011,,EB8C,BD,B7,0E,,,,,JSR,LB70E,CONVERT FPA0 TO INTEGER IN ACCB
2012,,EB8F,C4,3F,,,,,,ANDB,#$3F,FORCE MAX VALUE OF 63
2013,,EB91,1F,98,,,,,LEB91,TFR,"B,A",SAVE VALUE IN ACCA ALSO
2014,,EB93,C4,07,,,,,,ANDB,#$07,NOW ACCB CONTAINS SUBARC NUMBER
2015,,EB95,44,,,,,,,LSRA,,
2016,,EB96,44,,,,,,,LSRA,,
2017,,EB97,44,,,,,,,LSRA,,DIVIDE ACCA BY 8 - OCTANT NUMBER
2018,,EB98,39,,,,,,,RTS,,
2019,,,,,,,,,,,,
2020,,EB99,00,00,00,01,,,CIRCDATA,FDB,"$0000,$0001",SUBARC 0
2021,,EB9D,FE,C5,19,19,,,LEB9D,FDB,"$FEC5,$1919",SUBARC 1
2022,,EBA1,FB,16,31,F2,,,LEBA1,FDB,"$FB16,$31F2",SUBARC 2
2023,,EBA5,F4,FB,4A,51,,,LEBA5,FDB,"$F4FB,$4A51",SUBARC 3
2024,,EBA9,EC,84,61,F9,,,LEBA9,FDB,"$EC84,$61F9",SUBARC 4
2025,,EBAD,E1,C7,78,AE,,,LEBAB,FDB,"$E1C7,$78AE",SUBARC 5
2026,,EBB1,D4,DC,8E,3B,,,LEBAF,FDB,"$D4DC,$8E3B",SUBARC 6
2027,,EBB5,C5,E5,A2,69,,,LEBB5,FDB,"$C5E5,$A269",SUBARC 7
2028,,EBB9,B5,06,B5,06,,,LEBB9,FDB,"$B506,$B506",SUBARC 8
2029,,,,,,,,,,,,
2030,,,,,,,,,* MULTIPLY RADIUS BY SIN/COS VALUE AND RETURN OFFSET IN X,,,
2031,,EBBD,9E,CF,,,,,LEBBD,LDX,VCF,GET RADIUS
2032,,EBBF,EC,C4,,,,,,LDD,",U",GET SIN/COS TABLE MODIFIER
2033,,EBC1,27,07,,,,,,BEQ,LEBCA,BRANCH IF 0 (OFFSET = RADIUS)
2034,,EBC3,83,00,01,,,,,SUBD,#1,SUBTRACT ONE
2035,,EBC6,8D,03,,,,,,BSR,LEBCB,MULTIPLY RADIUS BY SIN/COS
2036,,EBC8,1F,21,,,,,,TFR,"Y,X",RETURN RESULT IN X
2037,,EBCA,39,,,,,,LEBCA,RTS,,
2038,,,,,,,,,,,,
2039,,,,,,,,,* MULTIPLY (UNSIGNED) TWO 16 BIT NUMBERS TOGETHER -,,,
2040,,,,,,,,,"* ENTER WITH ONE NUMBER IN ACCD, THE OTHER IN X REGISTER",,,
2041,,,,,,,,,"* THE 4 BYTE PRODUCT WILL BE STORED IN 4,S - 7,S",,,
2042,,,,,,,,,"* (Y, U REGISTERS ON THE STACK). I.E. (AA AB) x (XH,XL)=",,,
2043,,,,,,,,,* 256 * AA * XH + 16 * (AA * XL + AB * HX) + AB * XL. THE TWO BYTE,,,
2044,,,,,,,,,* MULTIPLIER AND THE MULTIPLICAND ARE TREATED AS A 1,,,
2045,,,,,,,,,* BYTE INTEGER PART (MSB) WITH A 1 BYTE FRACTIONAL PART (LSB),,,
2046,,,,,,,,,,,,
2047,,EBCB,34,76,,,,,LEBCB,PSHS,"U,Y,X,B,A",SAVE REGISTERS AND RESERVE STORAGE SPACE ON THE STACK
2048,,EBCD,6F,64,,,,,,CLR,"$04,S",RESET OVERFLOW FLAG
2049,,EBCF,A6,63,,,,,,LDA,"$03,S",=
2050,,EBD1,3D,,,,,,,MUL,,=
2051,,EBD2,ED,66,,,,,,STD,"$06,S","= CALCULATE ACCB*XL, STORE RESULT IN 6,S"
2052,,EBD4,EC,61,,,,,,LDD,"$01,S",*
2053,,EBD6,3D,,,,,,,MUL,,* CALCULATE ACCB*XH
2054,,EBD7,EB,66,,,,,,ADDB,"$06,S",*
2055,,EBD9,89,00,,,,,,ADCA,#$00,=
2056,,EBDB,ED,65,,,,,,STD,"$05,S",= ADD THE CARRY FROM THE 1ST MUL  TO THE RESULT OF THE 2ND MUL
2057,,EBDD,E6,E4,,,,,,LDB,",S",*
2058,,EBDF,A6,63,,,,,,LDA,"$03,S",*
2059,,EBE1,3D,,,,,,,MUL,,* CALCULATE ACCA*XL
2060,,EBE2,E3,65,,,,,,ADDD,"$05,S",=
2061,,EBE4,ED,65,,,,,,STD,"$05,S",= ADD RESULT TO TOTAL OF 2 PREVIOUS MULTS
2062,,EBE6,24,02,,,,,,BCC,LEBEA,BRANCH IF NO OVERFLOW
2063,,EBE8,6C,64,,,,,,INC,"$04,S",SET OVERFLOW FLAG (ACCD > $FFFF)
2064,,EBEA,A6,E4,,,,,LEBEA,LDA,",S",*
2065,,EBEC,E6,62,,,,,,LDB,"$02,S",*
2066,,EBEE,3D,,,,,,,MUL,,* CALCULATE ACCA*XH
2067,,EBEF,E3,64,,,,,,ADDD,"$04,S",=
2068,,EBF1,ED,64,,,,,,STD,"$04,S",= ADD TO PREVIOUS RESULT
2069,,EBF3,35,F6,,,,,,PULS,"A,B,X,Y,U,PC",RETURN WITH RESULT IN U AND Y
2070,,,,,,,,,,,,
2071,,,,,,,,,* HPAINT,,,
2072,,EBF5,0D,E6,,,,,HPAINT,TST,HRMODE,CHECK HI-RES GRAPHICS MODE
2073,,EBF7,10,27,FA,F4,,,,LBEQ,LE6EF,'HR' ERROR IF HI-RES GRAPHICS MODE NOT SET UP
2074,,EBFB,10,21,14,01,,,,LBRN,RAMLINK,RAM HOOK
2075,,EBFF,81,40,,,,,,CMPA,#'@',CHECK FOR @ SIGN
2076,,EC01,26,02,,,,,,BNE,LEC05,BRANCH IF NOT
2077,,EC03,9D,9F,,,,,,JSR,GETNCH,GET THE NEXT CHARACTER FROM BASIC'S INPUT LINE
2078,,EC05,BD,EA,04,,,,LEC05,JSR,LEA04,"SYNTAX CHECK FOR '(', TWO EXPRESSIONS, AND ')'"
2079,,EC08,BD,E7,AD,,,,,JSR,LE7AD,NORMALIZE THE HORIZONTAL AND VERTICAL COORDS
2080,,EC0B,86,01,,,,,,LDA,#$01,CODE FOR PSET
2081,,EC0D,97,C2,,,,,,STA,SETFLG,SET PSET/PRESET FLAG TO PSET
2082,,EC0F,BD,E7,18,,,,,JSR,LE718,GET PAINT COLOR CODE & SET ACTIVE COLOR AND ALL PIXEL BYTES
2083,,EC12,DC,B4,,,,,,LDD,WCOLOR,GET THEM
2084,,EC14,34,06,,,,,,PSHS,"B,A",SAVE THEM ON THE STACK
2085,,EC16,9D,A5,,,,,,JSR,GETCCH,GET BASIC'S CURRENT INPUT CHARACTER
2086,,EC18,27,03,,,,,,BEQ,LEC1D,"BRANCH IF NONE LEFT - DEFAULT BORDER COLOR TO FOREGROUND,"
2087,,,,,,,,,,,,PAINT COLOR TO BACKGROUND
2088,,EC1A,BD,E7,18,,,,,JSR,LE718,EVALUATE THE BORDER COLOR
2089,,EC1D,96,B5,,,,,LEC1D,LDA,ALLCOL,GET BORDER COLOR ALL PIXEL BYTE
2090,,EC1F,97,D8,,,,,,STA,VD8,TEMP SAVE IT
2091,,EC21,35,06,,,,,,PULS,"A,B",GET PAINT ACTIVE COLORS BACK
2092,,EC23,DD,B4,,,,,,STD,WCOLOR,RESAVE THEM
2093,,EC25,BD,E1,19,,,,,JSR,SELTASK1,
2094,,EC28,4F,,,,,,,CLRA,,* STORE A BLOCK OF 'PAINT' DATA ON THE STACK WHICH
2095,,EC29,34,56,,,,,,PSHS,"U,X,B,A",* WILL ACT AS AN END OF 'PAINT' DATA FLAG.
2096,,,,,,,,,* THE CLRA WILL CAUSE THE UP/DN FLAG TO BE ZERO WHICH IS USED TO EXIT THE HPAINT ROUTINE,,,
2097,,EC2B,BD,EB,60,,,,,JSR,LEB60,"GET NORMALIZED MAX HOR/VERTICAL VALUES - RETURN RESULT IN VD3,VD5"
2098,,EC2E,BD,E7,E6,,,,,JSR,LE7E6,POINT U TO THE ROUTINE WHICH WILL SELECT A PIXEL
2099,,,,,,,,,*,,,
2100,,,,,,,,,* 'PAINT' THE FIRST HORIZONTAL LINE FROM THE START COORDINATES,,,
2101,,EC31,DF,D9,,,,,,STU,VD9,SAVE ADDRESS
2102,,EC33,BD,EC,BE,,,,,JSR,LECBE,'PAINT' FROM THE CURRENT HORIZONTAL COORD TO ZERO
2103,,EC36,27,0F,,,,,,BEQ,LEC47,BRANCH IF NO PAINTING DONE - HIT BORDER INSTANTLY
