4269,,9F4D,81,06,,,,,,CMPA,#$06,"= BRANCH IF OCTANT = 0,1,6,7 (SUSARC HOR END"
4270,,9F4F,24,0A,,,,,,BCC,L9F5B,= POINT >= HOR CENTER)
4271,,9F51,DC,CB,,,,,,LDD,VCB,GET HOR COORD OF CENTER
4272,,9F53,93,C3,,,,,,SUBD,HOREND,SUBTRACT HORIZONTAL DIFFERENCE
4273,,9F55,24,11,,,,,,BCC,L9F68,BRANCH IF NO UNDERFLOW
4274,,9F57,4F,,,,,,,CLRA,,*
4275,,9F58,5F,,,,,,,CLRB,,"* IF NEW HOR < 0, FORCE IT TO BE 0"
4276,,9F59,20,0D,,,,,,BRA,L9F68,SAVE NEW COORD
4277,,9F5B,DC,CB,,,,,L9F5B,LDD,VCB,GET HOR COORD OF CENTER
4278,,9F5D,D3,C3,,,,,,ADDD,HOREND,ADD HORIZONTAL DIFFERENCE
4279,,9F5F,25,05,,,,,,BLO,L9F66,BRANCH IF OVERFLOW
4280,,9F61,10,93,D3,,,,,CMPD,VD3,COMPARE TO MAX HOR COORD
4281,,9F64,25,02,,,,,,BLO,L9F68,BRANCH IF < MAX HOR
4282,,9F66,DC,D3,,,,,L9F66,LDD,VD3,GET MAX HOR COORD
4283,,9F68,DD,C3,,,,,L9F68,STD,HOREND,SAVE NEW HORIZ SU8ARC END COORD
4284,,9F6A,A6,E4,,,,,,LDA,",S",*
4285,,9F6C,81,04,,,,,,CMPA,#$04,"* BRANCH IF OCTANT = 0,1,2,3 (SUBARC VERT END"
4286,,9F6E,25,0A,,,,,,BLO,L9F7A,* POINT >= VERT CENTER)
4287,,9F70,DC,CD,,,,,,LDD,VCD,GET VER COORD OF CENTER
4288,,9F72,93,C5,,,,,,SUBD,VEREND,SUBTRACT VERTICAL DIFFERENCE
4289,,9F74,24,11,,,,,,BCC,L9F87,BRANCH IF NO UNDERFIOW
4290,,9F76,4F,,,,,,,CLRA,,*
4291,,9F77,5F,,,,,,,CLRB,,"*IF NEW VERT < 0, FORCE IT TO BE 0"
4292,,9F78,20,0D,,,,,,BRA,L9F87,SAVE NEW COORD
4293,,9F7A,DC,CD,,,,,L9F7A,LDD,VCD,GET VER COORD OF CENTER
4294,,9F7C,D3,C5,,,,,,ADDD,VEREND,ADD VERTICAL DIFFERENCE
4295,,9F7E,25,05,,,,,,BLO,L9F85,BRANCH IF OVERFLOW
4296,,9F80,10,93,D5,,,,,CMPD,VD5,COMPARE TO MAX VERT COORD
4297,,9F83,25,02,,,,,,BLO,L9F87,BRANCH IF < MAX VER
4298,,9F85,DC,D5,,,,,L9F85,LDD,VD5,GET MAX VERT COORD
4299,,9F87,DD,C5,,,,,L9F87,STD,VEREND,SAVE NEW VERT SUSARC END COORD
4300,,9F89,0D,D8,,,,,,TST,VD8,CHECK FIRST TIME FLAG
4301,,9F8B,26,02,,,,,,BNE,L9F8F,*DO NOT DRAW A LINE FIRST TIME THRU -
4302,,,,,,,,,*,,,*BECAUSE THE FIRST TIME YOU WOULD DRAW A LINE
4303,,,,,,,,,*,,,*FROM THE CENTER TO THE FIRST POINT ON THE CIRCLE
4304,,9F8D,8D,50,,,,,,BSR,L9FDF,DRAW A LINE
4305,,9F8F,35,06,,,,,L9F8F,PULS,"A,B",GET END COORDS
4306,,9F91,04,D8,,,,,,LSR,VD8,SHIFT FIRST TIME FLAG
4307,,9F93,25,05,,,,,,BLO,L9F9A,DO NOT CHECK FOR END POINT AFTER DRAWING FIRST ARC
4308,,9F95,10,93,D9,,,,,CMPD,VD9,COMPARE CURRENT POSITION TO END POINT
4309,,9F98,27,0C,,,,,,BEQ,L9FA6,CIRCLE DRAWING FINISHED
4310,,,,,,,,,"* INCREMENT SUBARC CTR, IF > 7 THEN INCR OCTANT CTR",,,
4311,,9F9A,5C,,,,,,L9F9A,INCB,,INCR SUBARC CTR
4312,,9F9B,C1,08,,,,,,CMPB,#$08,> 7?
4313,,9F9D,26,04,,,,,,BNE,L9FA3,NO
4314,,9F9F,4C,,,,,,,INCA,,INCR OCTANT CTR
4315,,9FA0,5F,,,,,,,CLRB,,RESET SUBARC CTR
4316,,9FA1,84,07,,,,,,ANDA,#$07,"*KEEP IN RANGE OF 0-7; ONCE ACCA = B, THIS WILL MAKE ACCA = 0,"
4317,,,,,,,,,*,,,"*SO THE END POINT WILL BE (0,0) AND THE CIRCLE ROUTINE WILL END."
4318,,9FA3,7E,9E,FD,,,,L9FA3,JMP,L9EFD,KEEP DRAWING CIRCLE
4319,,9FA6,39,,,,,,L9FA6,RTS,,EXIT CIRCLE ROUTINE
4320,,,,,,,,,* MULTIPLY RADIUS BY SIN/COS VALUE AND RETURN OFFSET IN X,,,
4321,,9FA7,9E,CF,,,,,L9FA7,LDX,VCF,GET RADIUS
4322,,9FA9,EC,C4,,,,,,LDD,",U",GET SIN/COS TABLE MODIFIER
4323,,9FAB,27,07,,,,,,BEQ,L9FB4,BRANCH IF = 0 - OFFSET = RADIUS
4324,,9FAD,83,00,01,,,,,SUBD,#1,SUBTR 1
4325,,9FB0,8D,03,,,,,,BSR,L9FB5,MULT RADIUS BY SIN/COS
4326,,9FB2,1F,21,,,,,,TFR,"Y,X",RETURN RESULT IN X REG
4327,,9FB4,39,,,,,,L9FB4,RTS,,
4328,,,,,,,,,* MULTIPLY (UNSIGNED) TWO 16 BIT NUMBERS TOGETHER -,,,
4329,,,,,,,,,"* ENTER WITH ONE NUMBER IN ACCD, THE OTHER IN X",,,
4330,,,,,,,,,"* REG. THE 4 BYTE PRODUCT WILL BE STORED IN 4,S-7,S",,,
4331,,,,,,,,,"* (Y, U REG ON THE STACK). I.E. (AA AB) X (XH XL) =",,,
4332,,,,,,,,,* 256*AA*XH+16*(AA*XL+AB*XH)+AB*XL. THE 2 BYTE,,,
4333,,,,,,,,,* MULTIPLIER AND MULTIPLICAND ARE TREATED AS A 1,,,
4334,,,,,,,,,* BYTE INTEGER PART (MSB) WITH A 1 BYTE FRACTIONAL PART (LSB),,,
4335,,9FB5,34,76,,,,,L9FB5,PSHS,"U,Y,X,B,A",SAVE REGISTERS AND RESERVE STORAGE SPACE ON THE STACK
4336,,9FB7,6F,64,,,,,,CLR,"$04,S",RESET OVERFLOW FLAG
4337,,9FB9,A6,63,,,,,,LDA,"$03,S",=
4338,,9FBB,3D,,,,,,,MUL,,=
4339,,9FBC,ED,66,,,,,,STD,"$06,S","= CALCULATE ACCB*XL, STORE RESULT IN 6,S"
4340,,9FBE,EC,61,,,,,,LDD,"$01,S",*
4341,,9FC0,3D,,,,,,,MUL,,* CALCULATE ACCB*XH
4342,,9FC1,EB,66,,,,,,ADDB,"$06,S",=
4343,,9FC3,89,00,,,,,,ADCA,#$00,=
4344,,9FC5,ED,65,,,,,,STD,"$05,S",= ADD THE CARRY FROM THE 1ST MUL TO THE RESULT OF THE 2ND MUL
4345,,9FC7,E6,E4,,,,,,LDB,",S",*
4346,,9FC9,A6,63,,,,,,LDA,"$03,S",*
4347,,9FCB,3D,,,,,,,MUL,,* CALCULATE ACCA*XL
4348,,9FCC,E3,65,,,,,,ADDD,"$05,S",=
4349,,9FCE,ED,65,,,,,,STD,"$05,S",= ADD RESULT TO TOTAL OF 2 PREVIOUS MULTS
4350,,9FD0,24,02,,,,,,BCC,L9FD4,BRANCH IF NO OVERFLOW
4351,,9FD2,6C,64,,,,,,INC,"$04,S",SET OVERFLOW FLAG (ACCD > $FFFF)
4352,,9FD4,A6,E4,,,,,L9FD4,LDA,",S",*
4353,,9FD6,E6,62,,,,,,LDB,"$02,S",*
4354,,9FD8,3D,,,,,,,MUL,,* CALCULATE ACCA*XH
4355,,9FD9,E3,64,,,,,,ADDD,"$04,S",=
4356,,9FDB,ED,64,,,,,,STD,"$04,S",= ADD TO PREVIOUS RESULT
4357,,9FDD,35,F6,,,,,,PULS,"A,B,X,Y,U,PC","RETURN RESULT IN U,Y"
4358,,9FDF,7E,94,A1,,,,L9FDF,JMP,L94A1,"GO DRAW A LINE FROM (HORBEG,VERBEG) TO (HOREND,VEREND)"
4359,,,,,,,,,,,,
4360,,,,,,,,,* CALCULATE START OR END POINT WHICH IS A NUMBER FROM,,,
4361,,,,,,,,,* 0 TO 63 SAVED AS AN OCTANT NUMBER (0-7) AND A SUBARC NUMBER (0-7),,,
4362,,9FE2,5F,,,,,,L9FE2,CLRB,,DEFAULT VALUE OF ZERO
4363,,9FE3,9D,A5,,,,,,JSR,GETCCH,GET CURRENT INPUT CHAR
4364,,9FE5,27,11,,,,,,BEQ,L9FF8,BRANCH IF NONE
4365,,9FE7,BD,B2,6D,,,,,JSR,SYNCOMMA,SYNTAX CHECK FOR COMMA
4366,,9FEA,BD,B1,41,,,,,JSR,LB141,EVALUATE NUMERIC EXPRESSION
4367,,9FED,96,4F,,,,,,LDA,FP0EXP,GET EXPONENT OF FPA0
4368,,9FEF,8B,06,,,,,,ADDA,#$06,ADD 6 TO EXPONENT - MULTIPLY EXPONENT BY 64
4369,,9FF1,97,4F,,,,,,STA,FP0EXP,RESAVE EXPONENT
4370,,9FF3,BD,B7,0E,,,,,JSR,LB70E,CONVERT FPA0 TO INTEGER IN ACCB
4371,,9FF6,C4,3F,,,,,,ANDB,#$3F,MAX VALUE OF 63
4372,,9FF8,1F,98,,,,,L9FF8,TFR,"B,A",SAVE VALUE IN ACCA ALSO
4373,,9FFA,C4,07,,,,,,ANDB,#$07,NOW ACCB CONTAINS SUBARC NUMBER
4374,,9FFC,44,,,,,,,LSRA,,*
4375,,9FFD,44,,,,,,,LSRA,,*
4376,,9FFE,44,,,,,,,LSRA,,* DIVIDE ACCA BY EIGHT - OCTANT NUMBER
4377,,9FFF,39,,,,,,,RTS,,
