ALLCOL,00B5,,DCTRK,00EC,,DXCVEC,CE2E,,L8748,8748.0,,LASTPT,000D
CINBFL,0070,,DRESFL,095C,,FPA1,005D,,LA5AE,A5AE,,LB73D,B73D
CINCTR,0079,,DRGRAM,0986,,FPA2,0013,,LA5C7,A5C7,,LB958,B958
CINPTR,007A,,DRIVE,CDE9,,FPCARY,005B,,LA5DA,A5DA,,LB95C,B95C
CLSTSN,0085,,DRUNFL,0959,,FPSBYT,0063,,LA5E4,A5E4,,LB99F,B99F
CMP0,0090,,DSEC,00ED,,FREE,CDC0,,LA603,A603,,LB9A2,B9A2
CMP1,0091,,DSKCON,D66C,,FRESPC,0025,,LA616,A616,,LB9AC,B9AC
CMPMID,008F,,DSKI,D3FF,,FRETOP,0021,,LA61C,A61C,,LB9AF,B9AF
COEFCT,0055,,DSKINI,D4AB,,FRQVEC,010F,,LA61F,A61F,,LB9C5,B9C5
COEFPT,0064,,DSKO,D474,,GARBFL,0007,,LA7D1,A7D1,,LBB91,BB91
COMVEC,0120,,DSKREG,FF40,,GETCCH,00A5,,LA7E9,A7E9,,LBC14,BC14
COPY,D2CC,,DSKVAR,C006,,GETNCH,009F,,LA928,A928,,LBC33,BC33
CPERTM,0083,,DUSRVC,095F,,GIVABF,B4F4,,LA951,A951,,LBC35,BC35
CPULWD,0082,,DVEC0,C426,,GRBLOK,0086,,LA974,A974,,LBC5F,BC5F
CSRERR,0081,,DVEC1,C838,,GRPRAM,00BC,,LAC37,AC37,,LBDCC,BDCC
CSSVAL,00C1,,DVEC10,CC5B,,HORBEG,00BD,,LAC44,AC44,,LBDD9,BDD9
CURLIN,0068,,DVEC11,C859,,HORBYT,00B9,,LAC46,AC46,,LC002,C002
CURPOS,0088,,DVEC12,C6B7,,HORDEF,00C7,,LAC60,AC60,,LC008,C008
CVN,CD1A,,DVEC13,CA36,,HOREND,00C3,,LAC73,AC73,,LC00B,C00B
DA,FF20,,DVEC14,C860,,IFCTR,0004,,LAC7C,AC7C,,LC037,C037
DASCFL,0958,,DVEC15,CDF6,,IKEYIM,0087,,LACEF,ACEF,,LC057,C057
DATEXT,C294,,DVEC17,C24D,,INPFLG,0009,,LAD19,AD19,,LC0B3,C0B3
DATPTR,0033,,DVEC18,C990,,INT,BCEE,,LAD21,AD21,,LC0DD,C0DD
DATTMP,0035,,DVEC2,C843,,IRQ,FFF8,,LAD33,AD33,,LC0F6,C0F6
DATTXT,0031,,DVEC22,C29A,,IRQVEC,010C,,LAD9E,AD9E,,LC126,C126
DBUF0,0600,,DVEC3,CB4A,,KEYBUF,0152,,LADC6,ADC6,,LC17F,C17F
DBUF1,0700,,DVEC4,C58F,,KILL,C6C2,,LADD4,ADD4,,LC1DB,C1DB
DCBPT,00EE,,DVEC5,C818,,L813C,813C,,LADEB,ADEB,,LC201,C201
DCDRV,00EB,,DVEC6,C81B,,L8168,8168.0,,LAE15,AE15,,LC214,C214
DCNVEC,C004,,DVEC7,CA3B,,L8311,8311.0,,LAF9A,AF9A,,LC220,C220
DCOPC,00EA,,DVEC8,CA4B,,L8316,8316.0,,LAFA4,AFA4,,LC22C,C22C
DCSTA,00F0,,DVERFL,0987,,L836C,836C,,LAFB1,AFB1,,LC236,C236
,,,,,,,,,,,,,
LC23E,C23E,,LC657,C657,,LC956,C956,,LCCB4,CCB4,,LD07B,D07B
LC278,C278,,LC658,C658,,LC959,C959,,LCCB8,CCB8,,LD07E,D07E
LC2A7,C2A7,,LC65F,C65F,,LC964,C964,,LCCBD,CCBD,,LD0A5,D0A5
LC2A9,C2A9,,LC66E,C66E,,LC979,C979,,LCCBE,CCBE,,LD0B0,D0B0
LC2CC,C2CC,,LC678,C678,,LC985,C985,,LCCC6,CCC6,,LD0C0,D0C0
LC2D0,C2D0,,LC683,C683,,LC9A1,C9A1,,LCCD2,CCD2,,LD0CF,D0CF
LC2E8,C2E8,,LC686,C686,,LC9A2,C9A2,,LCCD6,CCD6,,LD102,D102
LC2ED,C2ED,,LC69A,C69A,,LC9BE,C9BE,,LCCDE,CCDE,,LD10B,D10B
LC2F2,C2F2,,LC6A9,C6A9,,LC9CD,C9CD,,LCCE2,CCE2,,LD11B,D11B
LC306,C306,,LC6AC,C6AC,,LC9D0,C9D0,,LCCF1,CCF1,,LD11E,D11E
LC320,C320,,LC6B8,C6B8,,LC9F6,C9F6,,LCCF6,CCF6,,LD125,D125
LC334,C334,,LC6CF,C6CF,,LCA01,CA01,,LCCFB,CCFB,,LD12E,D12E
LC339,C339,,LC6E2,C6E2,,LCA08,CA08,,LCCFC,CCFC,,LD135,D135
LC33C,C33C,,LC6F1,C6F1,,LCA0F,CA0F,,LCD12,CD12,,LD149,D149
LC348,C348,,LC70C,C70C,,LCA11,CA11,,LCD3A,CD3A,,LD15C,D15C
LC35D,C35D,,LC714,C714,,LCA18,CA18,,LCD3D,CD3D,,LD162,D162
LC38F,C38F,,LC719,C719,,LCA2C,CA2C,,LCD8C,CD8C,,LD169,D169
LC394,C394,,LC725,C725,,LCA3F,CA3F,,LCD96,CD96,,LD172,D172
LC3A7,C3A7,,LC733,C733,,LCA4A,CA4A,,LCDDA,CDDA,,LD18E,D18E
LC3AA,C3AA,,LC73E,C73E,,LCA53,CA53,,LCDE1,CDE1,,LD19F,D19F
LC3B1,C3B1,,LC749,C749,,LCA58,CA58,,LCE0D,CE0D,,LD1B7,D1B7
LC3E0,C3E0,,LC754,C754,,LCA80,CA80,,LCE10,CE10,,LD1B8,D1B8
LC3E5,C3E5,,LC756,C756,,LCA8E,CA8E,,LCE2B,CE2B,,LD1C1,D1C1
LC3FC,C3FC,,LC766,C766,,LCA9B,CA9B,,LCE4E,CE4E,,LD1E0,D1E0
LC404,C404,,LC76C,C76C,,LCA9F,CA9F,,LCE80,CE80,,LD1E5,D1E5
LC40A,C40A,,LC76D,C76D,,LCAA1,CAA1,,LCE8C,CE8C,,LD1F0,D1F0
LC419,C419,,LC78F,C78F,,LCAB8,CAB8,,LCEBF,CEBF,,LD202,D202
LC45C,C45C,,LC798,C798,,LCAC3,CAC3,,LCED7,CED7,,LD20D,D20D
LC468,C468,,LC7B6,C7B6,,LCAD8,CAD8,,LCED9,CED9,,LD211,D211
LC496,C496,,LC7B8,C7B8,,LCAD9,CAD9,,LCEDF,CEDF,,LD212,D212
LC4A2,C4A2,,LC7BC,C7BC,,LCAE0,CAE0,,LCEE5,CEE5,,LD221,D221
LC4BC,C4BC,,LC7C8,C7C8,,LCAE2,CAE2,,LCF02,CF02,,LD223,D223
LC4C2,C4C2,,LC7CD,C7CD,,LCAEE,CAEE,,LCF07,CF07,,LD235,D235
LC4CC,C4CC,,LC7D6,C7D6,,LCAF1,CAF1,,LCF1E,CF1E,,LD239,D239
LC4DE,C4DE,,LC7D7,C7D7,,LCAFD,CAFD,,LCF28,CF28,,LD257,D257
LC4E3,C4E3,,LC7DD,C7DD,,LCB0D,CB0D,,LCF31,CF31,,LD26A,D26A
LC4EC,C4EC,,LC7F9,C7F9,,LCB17,CB17,,LCF37,CF37,,LD271,D271
LC500,C500,,LC7FE,C7FE,,LCB43,CB43,,LCF39,CF39,,LD272,D272
LC50B,C50B,,LC815,C815,,LCB45,CB45,,LCF75,CF75,,LD27F,D27F
LC50F,C50F,,LC836,C836,,LCB52,CB52,,LCF7A,CF7A,,LD291,D291
LC53A,C53A,,LC85F,C85F,,LCB68,CB68,,LCF7D,CF7D,,LD2AC,D2AC
LC559,C559,,LC884,C884,,LCB6E,CB6E,,LCF92,CF92,,LD2B3,D2B3
LC57C,C57C,,LC887,C887,,LCB8C,CB8C,,LCF93,CF93,,LD2C0,D2C0
LC58D,C58D,,LC88A,C88A,,LCB98,CB98,,LCFA3,CFA3,,LD2E1,D2E1
LC597,C597,,LC897,C897,,LCB9A,CB9A,,LCFA6,CFA6,,LD2EE,D2EE
LC5BF,C5BF,,LC8BC,C8BC,,LCBC3,CBC3,,LCFB6,CFB6,,LD330,D330
LC5CC,C5CC,,LC8C0,C8C0,,LCBC4,CBC4,,LCFC7,CFC7,,LD335,D335
LC5D1,C5D1,,LC8C5,C8C5,,LCBE1,CBE1,,LCFCB,CFCB,,LD33E,D33E
LC5D5,C5D5,,LC8CA,C8CA,,LCBEB,CBEB,,LCFD4,CFD4,,LD360,D360
LC5E4,C5E4,,LC8CF,C8CF,,LCC11,CC11,,LCFDD,CFDD,,LD367,D367
LC5FA,C5FA,,LC8E6,C8E6,,LCC2E,CC2E,,LCFE7,CFE7,,LD36F,D36F
LC5FC,C5FC,,LC8ED,C8ED,,LCC3D,CC3D,,LCFED,CFED,,LD371,D371
LC604,C604,,LC8EF,C8EF,,LCC44,CC44,,LCFFE,CFFE,,LD384,D384
LC626,C626,,LC902,C902,,LCC4A,CC4A,,LD003,D003,,LD388,D388
LC62B,C62B,,LC909,C909,,LCC71,CC71,,LD03D,D03D,,LD38E,D38E
LC631,C631,,LC910,C910,,LCC85,CC85,,LD042,D042,,LD394,D394
LC650,C650,,LC922,C922,,LCC9A,CC9A,,LD056,D056,,LD398,D398
LC654,C654,,LC931,C931,,LCCA7,CCA7,,LD067,D067,,LD3CC,D3CC
,,,,,,,,,,,,,
LD3D6,D3D6,,LD768,D768,,RVEC13,0185,,V42,0042,,,
LD3E6,D3E6,,LD770,D770,,RVEC14,0188,,V43,0043,,,
LD3FC,D3FC,,LD778,D778,,RVEC15,018B,,V44,0044,,,
LD41A,D41A,,LD782,D782,,RVEC16,018E,,V45,0045,,,
LD42B,D42B,,LD784,D784,,RVEC17,0191,,V46,0046,,,
LD42E,D42E,,LD78E,D78E,,RVEC18,0194,,V47,0047,,,
LD436,D436,,LD798,D798,,RVEC19,0197,,V48,0048,,,
LD439,D439,,LD7A2,D7A2,,RVEC2,0164,,V4A,004A,,,
LD45C,D45C,,LD7AA,D7AA,,RVEC20,019A,,V4B,004B,,,
LD45F,D45F,,LD7BB,D7BB,,RVEC21,019D,,V4D,004D,,,
LD465,D465,,LD7DA,D7DA,,RVEC22,01A0,,V973,0973,,,
LD489,D489,,LINBUF,02DC,,RVEC23,01A3,,V974,0974,,,
LD4A1,D4A1,,LINHDR,02DA,,RVEC24,01A6,,V976,0976,,,
LD4C4,D4C4,,LIST,B764,,RVEC3,0167,,V977,0977,,,
LD4CB,D4CB,,LOAD,C99A,,RVEC4,016A,,V978,0978,,,
LD4D3,D4D3,,LOC,CD36,,RVEC5,016D,,VAB,00AB,,,
LD4D5,D4D5,,LOF,CD5B,,RVEC6,0170,,VAC,00AC,,,
LD4D6,D4D6,,LPTBTD,0095,,RVEC7,0173,,VAD,00AD,,,
LD4E0,D4E0,,LPTCFW,0099,,RVEC8,0176,,VAE,00AE,,,
LD519,D519,,LPTLCF,009A,,RVEC9,0179,,VALTMP,0006,,,
LD525,D525,,LPTLND,0097,,RVSEED,0115,,VARDES,003B,,,
LD533,D533,,LPTPOS,009C,,SAMREG,FFC0,,VARNAM,0037,,,
LD55C,D55C,,LPTWID,009B,,SAVE,C932,,VARPTR,0039,,,
LD562,D562,,LSET,D026,,SCALE,00E9,,VARTAB,001B,,,
LD582,D582,,LSTTXT,0066,,SETFLG,00C2,,VCB,00CB,,,
LD585,D585,,MEMSIZ,0027,,SNDDUR,008D,,VCD,00CD,,,
LD59B,D59B,,MERGE,C98B,,SNDTON,008C,,VCF,00CF,,,
LD5AD,D5AD,,MKN,CD28,,STRBUF,03D7,,VD1,00D1,,,
LD5D5,D5D5,,NMI,FFFC,,STRDES,0056,,VD3,00D3,,,
LD5DB,D5DB,,NMIFLG,0982,,STRINOUT,B99C,,VD4,00D4,,,
LD5FF,D5FF,,NMIVEC,0109,,STRSTK,01A9,,VD5,00D5,,,
LD608,D608,,NOTELN,00E1,,STRTAB,0023,,VD6,00D6,,,
LD60E,D60E,,OCTAVE,00DE,,SW2VEC,0103,,VD7,00D7,,,
LD616,D616,,OLDPTR,002D,,SW3VEC,0100,,VD8,00D8,,,
LD618,D618,,OLDTXT,0029,,SWI,FFFA,,VD9,00D9,,,
LD61B,D61B,,PIA0,FF00,,SWI2,FFF4,,VDA,00DA,,,
LD644,D644,,PIA1,FF20,,SWI3,FFF2,,VERBEG,00BF,,,
LD64F,D64F,,PIA2,FF40,,SWIVEC,0106,,VERDEF,00C9,,,
LD650,D650,,PLYTMR,00E3,,SYNCLN,0092,,VEREND,00C5,,,
LD667,D667,,PMODE,00B6,,SYNCOMMA,B26D,,VERIFY,D65B,,,
LD672,D672,,POTVAL,015A,,TEMPO,00E2,,VIDRAM,0400,,,
LD68B,D68B,,PRTDEV,006E,,TEMPPT,000B,,VOLHI,00DF,,,
LD69F,D69F,,RDYTMR,0985,,TEMPTR,000F,,VOLLOW,00E0,,,
LD6AD,D6AD,,RELFLG,000A,,TIMOUT,00E7,,WCOLOR,00B4,,,
LD6BE,D6BE,,RELPTR,003D,,TIMVAL,0112,,WFATVL,097A,,,
LD6C5,D6C5,,RENAME,CF3F,,TINPTR,002F,,WRITE,CF8A,,,
LD6D4,D6D4,,RESETV,FFFE,,TMPLOC,0003,,XBWMST,80C0,,,
LD6DD,D6DD,,RESSGN,0062,,TMPSTK,00DC,,XVEC15,8846,,,
LD6DE,D6DE,,RNBFAD,0948,,TMPTR1,0011,,XVEC17,88F0,,,
LD6E0,D6E0,,ROMPAK,C000,,TOPRAM,0074,,XVEC18,829C,,,
LD6EC,D6EC,,RSET,D025,,TRCFLG,00AF,,XVEC3,8273.0,,,
LD6FD,D6FD,,RSTFLG,0071,,TRELFL,003F,,XVEC4,8CF1,,,
LD700,D700,,RSTVEC,0072,,TXTTAB,0019,,XVEC8,8286.0,,,
LD705,D705,,RVEC0,015E,,UNLOAD,D146,,XVEC9,8E90,,,
LD707,D707,,RVEC1,0161,,USRADR,00B0,,ZERO,008A,,,
LD708,D708,,RVEC10,017C,,USRJMP,0112,,,,,,
LD737,D737,,RVEC11,017F,,V40,0040,,,,,,
LD739,D739,,RVEC12,0182,,V41,0041,,,,,,
