0051,0003,,TMPLOC,RMB,1,SCRATCH VARIABLE,,,,
0052,0004,,IFCTR,RMB,1.0,IF COUNTER - HOW MANY IF STATEMENTS IN A LINE,,,,
0053,0005,,DIMFLG,RMB,1.0,"*DV* ARRAY FLAG 0=EVALUATE, 1=DIMENSIONING",,,,
0054,0006,,VALTYP,RMB,1,"*DV* *PV TYPE FLAG: 0=NUMERIC, $FF=STRING",,,,
0055,0007,,GARBFL,RMB,1.0,*TV STRING SPACE HOUSEKEEPING FLAG,,,,
0056,0008,,ARYDIS,RMB,1,DISABLE ARRAY SEARCH: 00=ALLOW SEARCH,,,,
0057,0009,,INPFLG,RMB,1,"*TV INPUT FLAG: READ=0, INPUT<>0",,,,
0058,000A,,RELFLG,RMB,1,*TV RELATIONAL OPERATOR FLAG,,,,
0059,000B,,TEMPPT,RMB,2.0,*PV TEMPORARY STRING STACK POINTER,,,,
0060,000D,,LASTPT,RMB,2.0,*PV ADDR OF LAST USED STRING STACK ADDRESS,,,,
0061,000F,,TEMPTR,RMB,2.0,TEMPORARY POINTER,,,,
0062,0011,,TMPTR1,RMB,2.0,TEMPORARY DESCRIPTOR STORAGE (STACK SEARCH),,,,
0063,,,** FLOATING POINT ACCUMULATOR #2 (MANTISSA ONLY),,,,,,,
0064,0013,,FPA2,RMB,4.0,FLOATING POINT ACCUMULATOR #2 MANTISSA,,,,
0065,0017,,BOTSTK,RMB,2.0,BOTTOM OF STACK AT LAST CHECK,,,,
0066,0019,,TXTTAB,RMB,2.0,*PV BEGINNING OF BASIC PROGRAM,,,,
0067,001B,,VARTAB,RMB,2.0,*PV START OF VARIABLES,,,,
0068,001D,,ARYTAB,RMB,2.0,*PV START OF ARRAYS,,,,
0069,001F,,ARYEND,RMB,2.0,*PV END OF ARRAYS (+1),,,,
0070,0021,,FRETOP,RMB,2.0,*PV START OF STRING STORAGE (TOP OF FREE RAM),,,,
0071,0023,,STRTAB,RMB,2.0,*PV START OF STRING VARIABLES,,,,
0072,0025,,FRESPC,RMB,2.0,UTILITY STRING POINTER,,,,
0073,0027,,MEMSIZ,RMB,2.0,*PV TOP OF STRING SPACE,,,,
0074,0029,,OLDTXT,RMB,2.0,"SAVED LINE NUMBER DURING A ""STOP""",,,,
0075,002B,,BINVAL,RMB,2.0,BINARY VALUE OF A CONVERTED LINE NUMBER,,,,
0076,002D,,OLDPTR,RMB,2.0,"SAVED INPUT PTR DURING A ""STOP""",,,,
0077,002F,,TINPTR,RMB,2.0,TEMPORARY INPUT POINTER STORAGE,,,,
0078,0031,,DATTXT,RMB,2.0,*PV 'DATA' STATEMENT LINE NUMBER POINTER,,,,
0079,0033,,DATPTR,RMB,2.0,*PV 'DATA' STATEMENT ADDRESS POINTER,,,,
0080,0035,,DATTMP,RMB,2.0,DATA POINTER FOR 'INPUT' & 'READ',,,,
0081,0037,,VARNAM,RMB,2.0,*TV TEMP STORAGE FOR A VARIABLE NAME,,,,
0082,0039,,VARPTR,RMB,2.0,*TV POINTER TO A VARIABLE DESCRIPTOR,,,,
0083,003B,,VARDES,RMB,2.0,TEMP POINTER TO A VARIABLE DESCRIPTOR,,,,
0084,003D,,RELPTR,RMB,2.0,POINTER TO RELATIONAL OPERATOR PROCESSING ROUTINE,,,,
0085,003F,,TRELFL,RMB,1,TEMPORARY RELATIONAL OPERATOR FLAG BYTE,,,,
0086,,,,,,,,,,
0087,,,"* FLOATING POINT ACCUMULATORS #3,4 & 5 ARE MOSTLY",,,,,,,
0088,,,* USED AS SCRATCH PAD VARIABLES.,,,,,,,
0089,,,** FLOATING POINT ACCUMULATOR #3 :PACKED: ($40-$44),,,,,,,
0090,0040,,V40,RMB,1,,,,,
0091,0041,,V41,RMB,1,,,,,
0092,0042,,V42,RMB,1,,,,,
0093,0043,,V43,RMB,1,,,,,
0094,0044,,V44,RMB,1,,,,,
0095,,,** FLOATING POINT ACCUMULATOR #4 :PACKED: ($45-$49),,,,,,,
0096,0045,,V45,RMB,1,,,,,
0097,0046,,V46,RMB,1,,,,,
0098,0047,,V47,RMB,1,,,,,
0099,0048,,V48,RMB,2.0,,,,,
0100,,,** FLOATING POINT ACCUMULATOR #5 :PACKED: ($4A—$4E),,,,,,,
0101,004A,,V4A,RMB,1,,,,,
0102,004B,,V4B,RMB,2.0,,,,,
0103,004D,,V4D,RMB,2.0,,,,,
0104,,,** FLOATING POINT ACCUMULATOR #0,,,,,,,
0105,004F,,FP0EXP,RMB,1.0,*PV FLOATING POINT ACCUMULATOR #0 EXPONENT,,,,
0106,0050,,FPA0,RMB,4.0,*PV FLOATING POINT ACCUMULATOR #0 MANTISSA,,,,
0107,0054,,FP0SGN,RMB,1,*PV FLOATING POINT ACCUMULATOR #0 SIGN,,,,
0108,0055,,COEFCT,RMB,1,POLYNOMIAL COEFFICIENT COUNTER,,,,
0109,0056,,STRDES,RMB,5,TEMPORARY STRING DESCRIPTOR,,,,
0110,005B,,FPCARY,RMB,1.0,FLOATING POINT CARRY BYTE,,,,
0111,,,** FLOATING POINT ACCUMULATOR #1,,,,,,,
0112,005C,,FP1EXP,RMB,1,*PV FLOATING POINT ACCUMULATOR #1 EXPONENT,,,,
0113,005D,,FPA1,RMB,4.0,*PV FLOATING POINT ACCUMULATOR #1 MANTISSA,,,,
0114,0061,,FP1SGN,RMB,1,*PV FLOATING POINT ACCUMULATOR #1 SIGN,,,,
0115,,,,,,,,,,
0116,0062,,RESSGN,RMB,1.0,SIGN OF RESULT OF FLOATING POINT OPERATION,,,,
0117,0063,,FPSBYT,RMB,1.0,FLOATING POINT SUB BYTE (FIFTH BYTE),,,,
0118,0064,,COEFPT,RMB,2.0,POLYNOMIAL COEFFICIENT POINTER,,,,
0119,0066,,LSTTXT,RMB,2.0,CURRENT LINE POINTER DURING LIST,,,,
0120,0068,,CURLIN,RMB,2.0,"*PV CURRENT LINE # OF BASIC PROGRAM, $FFFF = DIRECT",,,,
0121,006A,,DEVCFW,RMB,1,*TV TAB FIELD WIDTH,,,,
0122,006B,,DEVLCF,RMB,1,*TV TAB ZONE,,,,
0123,006C,,DEVPOS,RMB,1,*TV PRINT POSITION,,,,
0124,006D,,DEVWID,RMB,1,*TV PRINT WIDTH,,,,
0125,006E,,PRTDEV,RMB,1,"*TV PRINT DEVICE: 0=NOT CASSETTE, -1=CASSETTE",,,,
0126,006F,,DEVNUM,RMB,1,"*PV DEVICE NUMBER: -3=DLOAD, -2=PRINTER,",,,,
0127,,,*,,,"                   -1=CASSETTE, 0=SCREEN, 1-15=DISK",,,,
0128,0070,,CINBFL,RMB,1,"*PV CONSOLE IN BUFFER FLAG: 00=NOT EMPTY, $FF=EMPTY",,,,
0129,0071,,RSTFLG,RMB,1,"*PV WARM START FLAG: $55=WARM, OTHER=COLD",,,,
0130,0072,,RSTVEC,RMB,2.0,*PV WARM START VECTOR - JUMP ADDRESS FOR WARM START,,,,
0131,0074,,TOPRAM,RMB,2.0,*PV TOP OF RAM,,,,
0132,0076,,,RMB,2.0,SPARE: UNUSED VARIABLES,,,,
0133,0078,,FILSTA,RMB,1,"*PV FILE STATUS FLAG: 0=CLOSED, 1=INPUT, 2=OUTPUT",,,,
0134,0079,,CINCTR,RMB,1,*PV CONSOLE IN BUFFER CHAR COUNTER,,,,
0135,007A,,CINPTR,RMB,2.0,*PV CONSOLE IN BUFFER POINTER,,,,
0136,007C,,BLKTYP,RMB,1,"*TV CASS BLOCK TYPE: 0=HEADER, 1=DATA, $FF=EOF",,,,
0137,007D,,BLKLEN,RMB,1,*TV CASSETTE BYTE COUNT,,,,
0138,007E,,CBUFAD,RMB,2.0,*TV CASSETTE LOAD BUFFER POINTER,,,,
0139,0080,,CCKSUM,RMB,1,*TV CASSETTE CHECKSUM BYTE,,,,
0140,0081,,CSRERR,RMB,1,*TV ERROR FLAG/CHARACTER COUNT,,,,
0141,0082,,CPULWD,RMB,1,*TV PULSE WIDTH COUNT,,,,
0142,0083,,CPERTM,RMB,1,*TV BIT COUNTER,,,,
0143,0084,,CBTPHA,RMB,1,*TV BIT PHASE FLAG,,,,
0144,0085,,CLSTSN,RMB,1,*TV LAST SINE TABLE ENTRY,,,,
0145,0086,,GRBLOK,RMB,1,"*TV GRAPHIC BLOCK VALUE FOR SET, RESET AND POINT",,,,
0146,0087,,IKEYIM,RMB,1,*TV INKEY$ RAM IMAGE,,,,
0147,0088,,CURPOS,RMB,2.0,*PV CURSOR LOCATION,,,,
0148,008A,,ZERO,RMB,2.0,*PV DUMMY - THESE TWO BYTES ARE ALWAYS ZERO,,,,
0149,008C,,SNDTON,RMB,1,*TV TONE VALUE FOR SOUND COMMAND,,,,
0150,008D,,SNDDUR,RMB,2.0,*TV DURATION VALUE FOR SOUND COMMAND,,,,
0151,,,,,,,,,,
0152,,,** THESE BYTES ARE MOVED DOWN FROM ROM,,,,,,,
0153,,,***,,,INIT,DESCRIPTION,,,
0154,,,*,,,VALUE,,,,
0155,008F,,CMPMID,RMB,1,18,*PV 1200/2400 HERTZ PARTITION,,,
0156,0090,,CMP0,RMB,1,24 ,*PV UPPER LIMIT OF 1200 HERTZ PERIOD,,,
0157,0091,,CMP1,RMB,1,10,*PV UPPER LIMIT OF 2400 HERTZ PERIOD,,,
0158,0092,,SYNCLN,RMB,2.0,128,*PV NUMBER OF $55'S TO CASSETTE LEADER,,,
0159,0094,,BLKCNT,RMB,1,11,*PV CURSOR BLINK DELAY,,,
0160,0095,,LPTBTD,RMB,2.0,88,*PV BAUD RATE CONSTANT (600),,,
0161,0097,,LPTLND,RMB,2.0,1,*PV PRINTER CARRIAGE RETURN DELAY,,,
0162,0099,,LPTCFW,RMB,1,16,*PV TAB FIELD WIDTH,,,
0163,009A,,LPTLCF,RMB,1,112,*PV LAST TAB ZONE,,,
0164,009B,,LPTWID,RMB,1,132,*PV PRINTER WIDTH,,,
0165,009C,,LPTPOS,RMB,1,0,*PV LINE PRINTER POSITION,,,
0166,009D,,EXECJP,RMB,2,LB4AA,*PV JUMP ADDRESS FOR EXEC COMMAND,,,
0167,,,,,,,,,,
0168,,,** THIS ROUTINE PICKS UP THE NEXT INPUT CHARACTER FROM,,,,,,,
0169,,,** BASIC. THE ADDRESS OF THE NEXT BASIC BYTE TO BE,,,,,,,
0170,,,** INTERPRETED IS STORED AT CHARAD.,,,,,,,
0171,,,,,,,,,,
0172,009F,0C A7,GETNCH,INC,<CHARAD+1,*PV INCREMENT LS BYTE OF INPUT POINTER,,,,
0173,00A1,26 02,,BNE,GETCCH,*PV BRANCH IF NOT ZERO (NO CARRY),,,,
0174,00A3,0C A6,,INC,<CHARAD,*PV INCREMENT MS BYTE OF INPUT POINTER,,,,
0175,00A5,B6,GETCCH,FCB,$B6,*PV OP CODE OF LDA EXTENDED,,,,
0176,00A6,,CHARAD,,2.0,*PV THESE 2 BYTES CONTAIN ADDRESS OF THE CURRENT,,,,
0177,,,*,,,    CHARACTER WHICH THE BASIC INTERPRETER IS,,,,
0178,,,*,,,    PROCESSING,,,,
0179,00A8,7E AA 1A,,JMP,BROMHK,JUMP BACK INTO THE BASIC RUM,,,,
0180,,,,,,,,,,
0181,00AB,,VAB,RMB,1,= LOW ORDER FOUR BYTES OF THE PRODUCT,,,,
0182,00AC,,VAC,RMB,1,= OF A FLOATING POINT MULTIPLICATION,,,,
0183,00AD,,VAD,RMB,1,= THESE BYTES ARE USE AS RANDOM DATA,,,,
0184,00AE,,VAE,RMB,1,= BY THE RND STATEMENT,,,,
0185,,,,,,,,,,
0186,,,* EXTENDED BASIC VARIABLES,,,,,,,
0187,00AF,,TRCFLG,RMB,1,*PV TRACE FLAG 0=OFF ELSE=ON,,,,
0188,00B0,,USRADR,RMB,2,*PV ADDRESS OF THE START OF USR VECTORS,,,,
0189,00B2,,FORCOL,RMB,1,*PV FOREGROUND COLOR,,,,
0190,00B3,,BAKCOL,RMB,1,*PV BACKGROUND COLOR,,,,
0191,00B4,,WCOLOR,RMB,1,*TV WORKING COLOR BEING USED BY EX BASIC,,,,
0192,00B5,,ALLCOL,RMB,1,*TV ALL PIXELS IN THIS BYTE SET TO COLOR OF VB3,,,,
0193,00B6,,PMODE,RMB,1,*PV PMODE'S MODE ARGUMENT,,,,
0194,00B7,,ENDGRP,RMB,2,*PV END OF CURRENT GRAPHIC PAGE,,,,
0195,00B9,,HORBYT,RMB,1,*PV NUMBER OF BYTES/HORIZONTAL GRAPHIC LINE,,,,
0196,00BA,,BEGGRP,RMB,2,*PV START OF CURRENT GRAPHIC PAGE,,,,
0197,00BC,,GRPRAM,RMB,1,*PV START OF GRAPHIC RAM (MS BYTE),,,,
0198,00BD,,HORBEG,RMB,2,*DV* *PV HORIZ COORD - START POINT,,,,
0199,00BF,,VERBEG,RMB,2,*DV* *PV VERT COORD - START POINT,,,,
0200,00C1,,CSSYAL,RMB,1,*PV SCREEN'S COLOR SET ARGUMENT,,,,
0201,00C2,,SETFLG,RMB,1,"*PV PRESET/PSET FLAG: 0=PRESET, 1=PSET",,,,
0202,00C3,,HOREND,RMB,2,*DV* *PV HORIZ COORD - ENDING POINT,,,,
0203,00C5,,VEREND,RMB,2,*DV* *PV VERT COORD - ENDING POINT,,,,
0204,00C7,,HORDEF,RMB,2,*PV HORIZ COORD - DEFAULT COORD,,,,
0205,00C9,,VERDEF,RMB,2,*PV VERT COORD - DEFAULT COORD,,,,
0206,,,,,,,,,,
0207,,,* EXTENDED BASIC SCRATCH PAD VARIABLES,,,,,,,
0208,00CB,,VCB,RMB,2.0,,,,,
0209,00CD,,VCD,RMB,2.0,,,,,
0210,00CF,,VCF,RMB,2.0,,,,,
0211,00D1,,VD1,RMB,2.0,,,,,
0212,00D3,,VD3,RMB,1.0,,,,,
0213,00D4,,VD4,RMB,1,,,,,
0214,00D5,,VD5,RMB,1.0,,,,,
0215,00D6,,VD6,RMB,1,,,,,
0216,00D7,,VD7,RMB,1.0,,,,,
0217,00D8,,VD8,RMB,1,,,,,
0218,00D9,,VD9,RMB,1,,,,,
0219,00DA,,VDA,RMB,1,,,,,
0220,,,,,,,,,,
0221,00DB,,CHGFLG,RMB,1,*TV FLAG TO INDICATE IF GRAPHIC DATA HAS BEEN CHANGED,,,,
0222,00DC,,TMPSTK,RMB,2,*TV STACK POINTER STORAGE DURING PAINT,,,,
0223,00DE,,OCTAVE,RMB,1,*PV OCTAVE VALUE (PLAY),,,,
0224,00DF,,VOLHI,RMB,1,*DV* *PV VOLUME HIGH VALUE (PLAY),,,,
0225,00E0,,VOLLOW,RMB,1,*DV* *PV VOLUME LOW VALUE (PLAY),,,,
0226,00E1,,NOTELN,RMB,1,*PV NOTE LENGTH (PLAY),,,,
0227,00E2,,TEMPO,RMB,1,*PV TEMPO VALUE (PLAY),,,,
0228,00E3,,PLYTMR,RMB,2,*TV TIMER FOR THE PLAY COMMAND,,,,
0229,00E5,,DOTYAL,RMB,1,*TV DOTTED NOTE TIMER SCALE FACTOR,,,,
0230,00E6,,DLBAUD,RMB,1,"*DV* *PV DLOAD BAUD RATE CONSTANT $B0=300, $2C=1200",,,,
0231,00E7,,TIMOUT,RMB,1,*DV* *PV DLOAD TIMEOUT CONSTANT,,,,
0232,00E8,,ANGLE,RMB,1,*DV* *PV ANGLE VALUE (DRAW),,,,
0233,00E9,,SCALE,RMB,1,*DV* *PV SCALE VALUE (DRAW),,,,
0234,,,,,,,,,,
0235,,,* DSKCON VARIABLES,,,,,,,
0236,00EA,,DCOPC,RMB,1,*PV DSKCON OPERATION CODE 0-3,,,,
0237,00EB,,DCDRV,RMB,1,*PV DSKCON DRIVE NUMBER 0—3,,,,
0238,00EC,,DCTRK,RMB,1,*PV DSKCON TRACK NUMBER 0—34,,,,
0239,00ED,,DSEC,RMB,1,*PV DSKCON SECTOR NUMBER 1-18,,,,
0240,00EE,,DCBPT,RMB,2,*PV DSKCON DATA POINTER,,,,
0241,00F0,,DCSTA,RMB,1,*PV DSKCON STATUS BYTE,,,,
0242,,,,,,,,,,
0243,00F1,,FCBTMP,RMB,2,TEMPORARY FCB POINTER,,,,
0244,,,,,,,,,,
0245,00F3,,,RMB,13,SPARE: UNUSED VARIABLES,,,,
0246,,,,,,,,,,
0247,,,,,,,,,,
0248,,,*,,,BASIC,EXBASIC,DOSBASIC,,
0249,,,,,,,,,,
0250,0100,,SW3VEC,RMB,3,$XXXX,$XXXX,$3B3B,SWI3 VECTOR,
0251,0103,,SW2VEC,RMB,3,$XXXX,$XXXX,$3B3B,SWI2 VECTOR,
0252,0106,,SWIVEC,RMB,3,$XXXX,$XXXX,$XXXX,SWI VECTOR,
0253,0109,,NMIVEC,RMB,3,$XXXX,$XXXX,$D7AE,NMI VECTOR,
0254,010C,,IRQVEC,RMB,3,$A9B3,$894C,$D7BC,IRQ VECTOR,
0255,010F,,FRQVEC,RMB,3,$A0F6,$A0F6,$A0F6,FIRQ VECTOR,
0256,,,,,,,,,,
0257,0112,,TIMVAL,,,,,,,
0258,0112,,USRJMP,RMB,3,JUMP ADDRESS FOR BASIC'S USR FUNCTION,,,,
0259,,,*,RMB,2,TIMER VALUE FOR EXBAS,,,,
0260,,,*,RMB,1.0,UNUSED BY EXBAS OR DISK BASIC,,,,
0261,0115,,RVSEED,RMB,1,* FLOATING POINT RANDOM NUMBER SEED EXPONENT,,,,
0262,0116,,,RMB,4,* MANTISSA: INITIALLY SET TO $804FC75259,,,,
0263,011A,,CASFLG,RMB,1,"UPPER CASE/LOWER CASE FLAG: $FF=UPPER, 0=LOWER",,,,
0264,011B,,DEBVAL,RMB,2,KEYBOARD DEBOUNCE DELAY (SET TO $45E),,,,
0265,011D,,EXPJMP,RMB,3,JUMP ADDRESS FOR EXPONENTIATION,,,,
0266,,,**,,,"INITIALLY SET TO ERROR FOR BASIC, $8489 FOR EX BASIC",,,,
0267,,,,,,,,,,
0268,,,***,COMMAND INTERPRETATION VECTOR TABLE,,,,,,
0269,,,,,,,,,,
0270,,,** FOUR SETS OF 10 BYTE TABLES:,,,,,,,
0271,,,,,,,,,,
0272,,,,,,,,,,
0273,,,** THE LAST USED TABLE MUST BE FOLLOWED BY A ZERO BYTE,,,,,,,
0274,,,"* THE JUMP TABLE VECTORS (3,4 AND 8,9) POINT TO THE JUMP TABLE FOR",,,,,,,
0275,,,"* THE FIRST TABLE. FOR ALL OTHER TABLES, THESE VECTORS POINT TO A",,,,,,,
0276,,,* ROUTINE WHICH WILL VECTOR YOU TO THE CORRECT JUMP TABLE.,,,,,,,
0277,,,* SUPER ENHANCED BASIC HAS MODIFIED THIS SCHEME SO THAT THE USER,,,,,,,
0278,,,* TABLE MAY NOT BE ACCESSED.  ANY ADDITIONAL TABLES WILL HAVE TO BE,,,,,,,
0279,,,* ACCESSED FROM A NEW COMMAND HANDLER.,,,,,,,
0280,,,,,,,,,,
0281,,,*,BYTE,DESCRIPTION,,,,,
0282,,,*,0,NUMBER OF RESERVED WORDS,,,,,
0283,,,*,"1,2",LOOKUP TABLE OF RESERVED WORDS,,,,,
0284,,,*,"3,4",JUMP TABLE FOR COMMANDS (FIRST TABLE),,,,,
0285,,,*,,VECTOR TO EXPANSION COMMAND HANDLERS (ALL BUT FIRST TABLE),,,,,
0286,,,*,5,NUMBER OF SECONDARY FUNCTIONS,,,,,
0287,,,*,"6,7",LOOKUP TABLE OF SECONDARY FUNCTIONS (FIRST TABLE),,,,,
0288,,,*,,VECTOR TO EXPANSION SECONDARY COMMAND HANDLERS (ALL BUT,,,,,
0289,,,*,,FIRST TABLE),,,,,
0290,,,*,"8,9",JUMP TABLE FOR SECONDARY FUNCTIONS,,,,,
0291,,,*,10,0 BYTE - END OF TABLE FLAG (LAST TABLE ONLY),,,,,
0292,,,,,,,,,,
0293,0120,,COMVEC,RMB,10,BASIC'S TABLE,,,,
0294,012A,,,RMB,10,EX BASIC'S TABLE,,,,
0295,0134,,,RMB,10,DISC BASIC'S TABLE (UNUSED BY EX BASIC),,,,
0296,,,,,,,,,,
0297,,,**** USR FUNCTION VECTOR ADDRESSES (EX BASIC ONLY),,,,,,,
0298,013E,,,RMB,2,USR 0 VECTOR,,,,
0299,0140,,,RMB,2,USR 1,,,,
0300,0142,,,RMB,2,USR 2,,,,
0301,0144,,,RMB,2,USR 3,,,,
0302,0146,,,RMB,2,USR 4,,,,
0303,0148,,,RMB,2,USR 5,,,,
0304,014A,,,RMB,2,USR 6,,,,
0305,014C,,,RMB,2,USR 7,,,,
0306,014E,,,RMB,2,USR 8,,,,
0307,0150,,,RMB,2,USR 9,,,,
0308,,,,,,,,,,
0309,,,*** THE ABOVE 20 BYTE USR ADDR VECTOR TABLE IS MOVED TO,,,,,,,
0310,,,*** $95F-$972 BY DISC BASIC. THE 20 BYTES FROM $13E-$151,,,,,,,
0311,,,*** ARE REDEFINED AS FOLLOWS:,,,,,,,
0312,,,,,,,,,,
0313,,,*,RMB,10,USER (SPARE) COMMAND INTERPRETATION TABLE SPACE,,,,
0314,,,*,FCB,0,END OF COMM INTERP TABLE FLAG,,,,
0315,,,*,RMB,9,UNUSED BY DISK BASIC,,,,
0316,,,,,,,,,,
0317,,,*,COMMAND INTERPRETATION TABLE VALUES,,,,,,
0318,,,*,,BYTE,BASIC,EX BASIC,DISK BASIC,,
0319,,,*,                                  BASIC TABLE,0,53,,,BASIC TABLE,
0320,,,*,,"1,2",$AA66,,,,
0321,,,*,,"3,4",$AB67,,,,
0322,,,*,,5,20,,,,
0323,,,*,,"6,7",$AB1A,,,,
0324,,,*,,"8,9",$AA29,,,,
0325,,,,,,,,,,
0326,,,*,,0,,25,,EX BASIC TABLE,
0327,,,*,,"1,2",,$8183,,,
0328,,,*,,"3,4",,$813C,$CE2E,($CF0A 2.1),
0329,,,*,,5,,14,,,
0330,,,*,,"6,7",,$821E,,,
0331,,,*,,"8,9",,$8168,$CE56,($CF32 2.1),
0332,,,,,,,,,,
0333,,,*,,0,,19 (20 2.1),,DISK BASIC TABLE,
0334,,,*,,"1,2",,$C17F,,,
0335,,,*,,"3,4",,$C2C0,,,
0336,,,*,,5,,6,,,
0337,,,*,,"6,7",,$C201,,,
0338,,,*,,"8,9",,$C236,,,
0339,,,,,,,,,,
0340,,,,,,,,,,
0341,0152,,KEYBUF,RMB,8,KEYBOARD MEMORY BUFFER,,,,
0342,015A,,POTVAL,RMB,1,LEFT VERTICAL JOYSTICK DATA,,,,
0343,015B,,,RMB,1,LEFT HORIZONTAL JOYSTICK DATA,,,,
0344,015C,,,RMB,1,RIGHT VERTICAL JOYSTICK DATA,,,,
0345,015D,,,RMB,1,RIGHT HORIZONTAL JOYSTICK DATA,,,,
0346,,,,,,,,,,
0347,,,* BASIC'S RAM VECTORS - INITIALIZED TO RTS BY COLOR BASIC,,,,,,,
0348,,,* 25 SETS OF 3 BYTE INSTRUCTIONS WHICH ARE CALLED BY COLOR BASIC,,,,,,,
0349,,,* EXTENDED AND DISK BASIC. THEIR PURPOSE IS TO ALLOW ENHANCEMENTS (SUCH,,,,,,,
0350,,,* AS EX BASIC AND DOS BASIC) AS MORE ROMS ARE ADDED TO THE,,,,,,,
0351,,,* SYSTEM BY EFFECTIVELY ALLOWING MORE CODE TO BE ADDED TO THE,,,,,,,
0352,,,* ROUTINES IN EARLIER ROMS. THIS NEW CODE IS LOCATED IN THE NEW ROMS,,,,,,,
0353,,,* AND THE ADDRESS TO GET TO THE NEW CODE IS IN BYTES 1 & 2 OF THE,,,,,,,
0354,,,* RAM VECTOR. BYTE 0 WILL CONTAIN A $7E WHICH IS THE FIRST BYTE OF,,,,,,,
0355,,,* THE JMP INSTRUCTION.,,,,,,,
0356,,,* THE FIRST ADDRESS IN THIS TABLE IS THE ADDRESS IN BASIC WHICH,,,,,,,
0357,,,"* CALLS THE RAM VECTOR, THE SECOND ADDRESS IS THE VALUE WHICH",,,,,,,
0358,,,* EX BASIC PUTS IN THE RAM VECTOR (IF ANY) AND THE THIRD ADDRESS,,,,,,,
0359,,,* IS THE VALUE WHICH DISK BASIC PUTS THERE (IF ANY),,,,,,,
0360,,,,,,,,,,
0361,,,,,,,,,,
0362,,,*,,,2.0,2.1,1.0,1.1,
