ALLCOL,00B5,,DCTRK,00EC,,DVEC20,C8B0,,IRQ,FFF8,,LAD33,AD33
DCNVEC,C004,,DVEC7,CAE9,,L8748,8748.0,,LB069,B069,,LC2EA,C2EA
DCOPC,00EA,,DVEC8,CAF9,,L880E,880E,,LB143,B143,,LC306,C306
DCSTA,00F0,,DVERFL,0987,,L8955,8955.0,,LB146,B146,,LC30B,C30B
,,,,,,,,,,,,,
LC0F0,C0F0,,LC627,C627,,LC905,C905,,LCC15,CC15,,LD013,D013
LC109,C109,,LC629,C629,,LC932,C932,,LCC17,CC17,,LD015,D015
LC139,C139,,LC631,C631,,LC935,C935,,LCC24,CC24,,LD051,D051
LC192,C192,,LC64D,C64D,,LC938,C938,,LCC3A,CC3A,,LD056,D056
LC1F1,C1F1,,LC653,C653,,LC945,C945,,LCC40,CC40,,LD059,D059
LC219,C219,,LC658,C658,,LC96A,C96A,,LCC5E,CC5E,,LD06E,D06E
LC22C,C22C,,LC65E,C65E,,LC96E,C96E,,LCC6A,CC6A,,LD06F,D06F
LC238,C238,,LC67D,C67D,,LC973,C973,,LCC6C,CC6C,,LD07F,D07F
LC244,C244,,LC681,C681,,LC978,C978,,LCC99,CC99,,LD082,D082
LC24E,C24E,,LC684,C684,,LC97D,C97D,,LCCBB,CCBB,,LD092,D092
LC256,C256,,LC685,C685,,LC994,C994,,LCCC5,CCC5,,LD0A3,D0A3
LC290,C290,,LC68C,C68C,,LC99B,C99B,,LCCEB,CCEB,,LD0A7,D0A7
LC2BF,C2BF,,LC69B,C69B,,LC99D,C99D,,LCD08,CD08,,LD0B0,D0B0
LC2C1,C2C1,,LC6A5,C6A5,,LC9B0,C9B0,,LCD17,CD17,,LD0B9,D0B9
LC2E6,C2E6,,LC6B0,C6B0,,LC9B7,C9B7,,LCD18,CD18,,LD0C3,D0C3
LC310,C310,,LC6B3,C6B3,,LC9BE,C9BE,,LCD1B,CD1B,,LD0C9,D0C9
LC324,C324,,LC6C7,C6C7,,LC9D0,C9D0,,LCD1E,CD1E,,LD0DA,D0DA
LC33E,C33E,,LC6D6,C6D6,,LC9DF,C9DF,,LCD24,CD24,,LD0DF,D0DF
LC352,C352,,LC6D9,C6D9,,LCA04,CA04,,LCD4B,CD4B,,LD119,D119
LC357,C357,,LC6E5,C6E5,,LCA07,CA07,,LCD5F,CD5F,,LD11E,D11E
LC35A,C35A,,LC6FC,C6FC,,LCA12,CA12,,LCD74,CD74,,LD132,D132
LC366,C366,,LC70F,C70F,,LCA27,CA27,,LCD81,CD81,,LD143,D143
LC37B,C37B,,LC71E,C71E,,LCA33,CA33,,LCD8E,CD8E,,LD157,D157
LC3AD,C3AD,,LC739,C739,,LCA4F,CA4F,,LCD92,CD92,,LD15A,D15A
LC3B2,C3B2,,LC744,C744,,LCA50,CA50,,LCD97,CD97,,LD181,D181
LC3C5,C3C5,,LC749,C749,,LCA6C,CA6C,,LCD98,CD98,,LD189,D189
LC3C8,C3C8,,LC755,C755,,LCA7B,CA7B,,LCDA0,CDA0,,LD199,D199
LC3CF,C3CF,,LC763,C763,,LCA7E,CA7E,,LCDAC,CDAC,,LD1A8,D1A8
LC405,C405,,LC76E,C76E,,LCAA4,CAA4,,LCDB0,CDB0,,LD1AF,D1AF
LC40A,C40A,,LC779,C779,,LCAAF,CAAF,,LCDB8,CDB8,,LD1EF,D1EF
LC421,C421,,LC784,C784,,LCAB6,CAB6,,LCDBC,CDBC,,LD1F8,D1F8
LC429,C429,,LC786,C786,,LCABD,CABD,,LCDCB,CDCB,,LD208,D208
LC42F,C42F,,LC796,C796,,LCABF,CABF,,LCDD0,CDD0,,LD20B,D20B
LC43E,C43E,,LC79C,C79C,,LCAC6,CAC6,,LCDD5,CDD5,,LD212,D212
LC481,C481,,LC79D,C79D,,LCADA,CADA,,LCDD6,CDD6,,LD21B,D21B
LC48D,C48D,,LC7BF,C7BF,,LCAED,CAED,,LCDEC,CDEC,,LD222,D222
LC4BB,C4BB,,LC7C8,C7C8,,LCAF8,CAF8,,LCE14,CE14,,LD236,D236
LC4C7,C4C7,,LC7E6,C7E6,,LCB01,CB01,,LCE19,CE19,,LD249,D249
LC4E1,C4E1,,LC7E8,C7E8,,LCB06,CB06,,LCE68,CE68,,LD24F,D24F
LC4E8,C4E8,,LC7EC,C7EC,,LCB2E,CB2E,,LCE72,CE72,,LD256,D256
LC4F2,C4F2,,LC7F8,C7F8,,LCB31,CB31,,LCEB6,CEB6,,LD25F,D25F
LC504,C504,,LC7FD,C7FD,,LCB41,CB41,,LCEBD,CEBD,,LD27B,D27B
LC509,C509,,LC806,C806,,LCB4E,CB4E,,LCEE9,CEE9,,LD28C,D28C
LC514,C514,,LC807,C807,,LCB52,CB52,,LCEEC,CEEC,,LD2A4,D2A4
LC519,C519,,LC80D,C80D,,LCB54,CB54,,LCF07,CF07,,LD2A5,D2A5
LC52D,C52D,,LC829,C829,,LCB6B,CB6B,,LCF2A,CF2A,,LD2AE,D2AE
LC538,C538,,LC82E,C82E,,LCB76,CB76,,LCF5C,CF5C,,LD2CD,D2CD
LC53C,C53C,,LC845,C845,,LCB8B,CB8B,,LCF68,CF68,,LD2D2,D2D2
LC567,C567,,LC866,C866,,LCB8C,CB8C,,LCF9B,CF9B,,LD2DD,D2DD
LC586,C586,,LC868,C868,,LCB93,CB93,,LCFB3,CFB3,,LD2EF,D2EF
LC5A9,C5A9,,LC881,C881,,LCB97,CB97,,LCFB5,CFB5,,LD2FA,D2FA
LC5BA,C5BA,,LC8AF,C8AF,,LCBAD,CBAD,,LCFBB,CFBB,,LD2FC,D2FC
LC5C4,C5C4,,LC8B2,C8B2,,LCBB4,CBB4,,LCFC1,CFC1,,LD2FF,D2FF
LC5EC,C5EC,,LC8C2,C8C2,,LCBC0,CBC0,,LCFDE,CFDE,,LD30E,D30E
LC5F9,C5F9,,LC8D1,C8D1,,LCBC3,CBC3,,LCFE3,CFE3,,LD310,D310
LC5FE,C5FE,,LC8DA,C8DA,,LCBCF,CBCF,,LCFFA,CFFA,,LD322,D322
LC602,C602,,LC8F3,C8F3,,LCBDF,CBDF,,LD004,D004,,LD326,D326
LC611,C611,,LC8FE,C8FE,,LCBE9,CBE9,,LD00D,D00D,,LD344,D344
,,,,,,,,,,,,,
LD357,D357,,LD709,D709,,OLDPTR,002D,,SW3VEC,0100,,VD8,00D8
LD35E,D35E,,LD70B,D70B,,OLDTXT,0029,,SWI,FFFA,,VD9,00D9
LD35F,D35F,,LD70E,D70E,,PIA0,FF00,,SWI2,FFF4,,VDA,00DA
LD36C,D36C,,LD737,D737,,PIA1,FF20,,SWI3,FFF2,,VERBEG,00BF
LD37E,D37E,,LD742,D742,,PIA2,FF40,,SWIVEC,0106,,VERDEF,00C9
LD399,D399,,LD743,D743,,PLYTMR,00E3,,SYNCLN,0092,,VEREND,00C5
LD3A0,D3A0,,LD75A,D75A,,PMODE,00B6,,SYNCOMMA,B26D,,VERIFY,D74E
LD3AD,D3AD,,LD765,D765,,POTVAL,015A,,TEMPO,00E2,,VIDRAM,0400
LD3CE,D3CE,,LD77E,D77E,,PRTDEV,006E,,TEMPPT,000B,,VOLHI,00DF
LD3DC,D3DC,,LD792,D792,,RDYTMR,0985,,TEMPTR,000F,,VOLLOW,00E0
LD41E,D41E,,LD7A0,D7A0,,RELFLG,000A,,TIMOUT,00E7,,WCOLOR,00B4
LD423,D423,,LD7B1,D7B1,,RELPTR,003D,,TIMVAL,0112,,WFATVL,097A
LD42C,D42C,,LD7B8,D7B8,,RENAME,D01B,,TINPTR,002F,,WRITE,D066
LD44E,D44E,,LD7D0,D7D0,,RESETV,FFFE,,TMPLOC,0003,,XBWMST,80C0
LD455,D455,,LD7D1,D7D1,,RESSGN,0062,,TMPSTK,00DC,,XVEC15,8846
LD45D,D45D,,LD7D3,D7D3,,RNBFAD,0948,,TMPTR1,0011,,XVEC17,88F0
LD45F,D45F,,LD7DF,D7DF,,ROMPAK,C000,,TOPRAM,0074,,XVEC18,829C
LD472,D472,,LD7F0,D7F0,,RSET,D101,,TRCFLG,00AF,,XVEC3,8273.0
LD476,D476,,LD7F3,D7F3,,RSTFLG,0071,,TRELFL,003F,,XVEC4,8CF1
LD47C,D47C,,LD7F8,D7F8,,RSTVEC,0072,,TXTTAB,0019,,XVEC8,8286.0
LD482,D482,,LD7FB,D7FB,,RVEC0,015E,,UNLOAD,D233,,XVEC9,8E90
LD486,D486,,LD82A,D82A,,RVEC1,0161,,USRADR,00B0,,ZERO,008A
LD4BA,D4BA,,LD82C,D82C,,RVEC10,017C,,USRJMP,0112,,,
LD4C4,D4C4,,LD85B,D85B,,RVEC11,017F,,V40,0040,,,
LD4D4,D4D4,,LD863,D863,,RVEC12,0182,,V41,0041,,,
LD4EA,D4EA,,LD86B,D86B,,RVEC13,0185,,V42,0042,,,
LD508,D508,,LD875,D875,,RVEC14,0188,,V43,0043,,,
LD519,D519,,LD877,D877,,RVEC15,018B,,V44,0044,,,
LD51C,D51C,,LD881,D881,,RVEC16,018E,,V45,0045,,,
LD524,D524,,LD88B,D88B,,RVEC17,0191,,V46,0046,,,
LD527,D527,,LD895,D895,,RVEC18,0194,,V47,0047,,,
LD54A,D54A,,LD89D,D89D,,RVEC19,0197,,V48,0048,,,
LD54D,D54D,,LD8AE,D8AE,,RVEC2,0164,,V4A,004A,,,
LD553,D553,,LD8CD,D8CD,,RVEC20,019A,,V4B,004B,,,
LD577,D577,,LDF09,DF09,,RVEC21,019D,,V4D,004D,,,
LD58F,D58F,,LDF36,DF36,,RVEC22,01A0,,V973,0973,,,
LD5B2,D5B2,,LINBUF,02DC,,RVEC23,01A3,,V974,0974,,,
LD5B9,D5B9,,LINHDR,02DA,,RVEC24,01A6,,V976,0976,,,
LD5C1,D5C1,,LIST,B764,,RVEC3,0167,,V977,0977,,,
LD5C3,D5C3,,LOAD,CA48,,RVEC4,016A,,V978,0978,,,
LD5C4,D5C4,,LOC,CE10,,RVEC5,016D,,VAB,00AB,,,
LD5CE,D5CE,,LOF,CE37,,RVEC6,0170,,VAC,00AC,,,
LD606,D606,,LPTBTD,0095,,RVEC7,0173,,VAD,00AD,,,
LD612,D612,,LPTCFW,0099,,RVEC8,0176,,VAE,00AE,,,
LD620,D620,,LPTLCF,009A,,RVEC9,0179,,VALTMP,0006,,,
LD649,D649,,LPTLND,0097,,RVSEED,0115,,VARDES,003B,,,
LD64F,D64F,,LPTPOS,009C,,SAMREG,FFC0,,VARNAM,0037,,,
LD66F,D66F,,LPTWID,009B,,SAVE,C9E0,,VARPTR,0039,,,
LD672,D672,,LSET,D102,,SCALE,00E9,,VARTAB,001B,,,
LD688,D688,,LSTTXT,0066,,SETFLG,00C2,,VCB,00CB,,,
LD691,D691,,MEMSIZ,0027,,SNDDUR,008D,,VCD,00CD,,,
LD69A,D69A,,MERGE,CA39,,SNDTON,008C,,VCF,00CF,,,
LD6C2,D6C2,,MKN,CE02,,STRBUF,03D7,,VD1,00D1,,,
LD6C8,D6C8,,NMI,FFFC,,STRDES,0056,,VD3,00D3,,,
LD6D4,D6D4,,NMIFLG,0982,,STRINOUT,B99C,,VD4,00D4,,,
LD6F2,D6F2,,NMIVEC,0109,,STRSTK,01A9,,VD5,00D5,,,
LD6FB,D6FB,,NOTELN,00E1,,STRTAB,0023,,VD6,00D6,,,
LD701,D701,,OCTAVE,00DE,,SW2VEC,0103,,VD7,00D7,,,
