ALLCOL,00B5,,GRPRAM,00BC,,L81EB,81EB,,L8316,8316,,L857D,857D
L8A02,8A02,,L8C9B,8C9B,,L8ED8,8ED8,,L919E,919E,,L93B8,93B8
L8A04,8A04,,L8CB1,8CB1,,L8EDD,8EDD,,L91A0,91A0,,L93CE,93CE
L8A20,8A20,,L8CBF,8CBF,,L8EE2,8EE2,,L91B6,91B6,,L93E8,93E8
L8A2D,8A2D,,L8CC1,8CC1,,L8EEF,8EEF,,L91BA,91BA,,L93E9,93E9
L8A3A,8A3A,,L8CC5,8CC5,,L8EFB,8EFB,,L91C4,91C4,,L9420,9420
L8A3D,8A3D,,L8CC6,8CC6,,L8F1A,8F1A,,L91CC,91CC,,L9429,9429
L8A67,8A67,,L8CCD,8CCD,,L8F20,8F20,,L91CD,91CD,,L9430,9430
L8A68,8A68,,L8CD0,8CD0,,L8F24,8F24,,L91D0,91D0,,L9432,9432
L8A71,8A71,,L8CDD,8CDD,,L8F26,8F26,,L91E4,91E4,,L9434,9434
L8A77,8A77,,L8CE2,8CE2,,L8F41,8F41,,L91E9,91E9,,L9443,9443
L8A83,8A83,,L8CE4,8CE4,,L8F4F,8F4F,,L91F1,91F1,,L9444,9444
L8A86,8A86,,L8D01,8D01,,L8F5A,8F5A,,L9200,9200,,L9451,9451
L8A90,8A90,,L8D02,8D02,,L8F74,8F74,,L9202,9202,,L945E,945E
L8A91,8A91,,L8D12,8D12,,L8F8F,8F8F,,L9211,9211,,L946B,946B
L8A95,8A95,,L8D14,8D14,,L8F96,8F96,,L9213,9213,,L946C,946C
L8A99,8A99,,L8D1B,8D1B,,L8FB3,8FB3,,L9235,9235,,L946E,946E
L947B,947B,,L9708,9708,,L9934,9934,,L9B97,9B97,,L9DFC,9DFC
L948A,948A,,L970A,970A,,L993B,993B,,L9B98,9B98,,L9E05,9E05
L948C,948C,,L970C,970C,,L9954,9954,,L9B9A,9B9A,,L9E0D,9E0D
L948E,948E,,L970E,970E,,L9958,9958,,L9BAC,9BAC,,L9E21,9E21
L9490,9490,,L9710,9710,,L9969,9969,,L9BBE,9BBE,,L9E2B,9E2B
L9492,9492,,L9714,9714,,L996C,996C,,L9BC8,9BC8,,L9E32,9E32
L9494,9494,,L971D,971D,,L996E,996E,,L9BE2,9BE2,,L9E56,9E56
L949D,949D,,L9736,9736,,L9970,9970,,L9BEB,9BEB,,L9E5B,9E5B
L94A1,94A1,,L973F,973F,,L9983,9983,,L9BEE,9BEE,,L9E5E,9E5E
L94B2,94B2,,L9751,9751,,L998C,998C,,L9BF1,9BF1,,L9E69,9E69
L94C1,94C1,,L9752,9752,,L999E,999E,,L9BF2,9BF2,,L9E6A,9E6A
L94CC,94CC,,L975A,975A,,L99A1,99A1,,L9BF7,9BF7,,L9E78,9E78
L94DD,94DD,,L9765,9765,,L99AC,99AC,,L9BFC,9BFC,,L9E79,9E79
L94E2,94E2,,L979A,979A,,L99BA,99BA,,L9C01,9C01,,L9E7D,9E7D
L9502,9502,,L979F,979F,,L99C6,99C6,,L9C0A,9C0A,,L9E81,9E81
L9506,9506,,L97AE,97AE,,L99CB,99CB,,L9C1B,9C1B,,L9E85,9E85
L950D,950D,,L97B7,97B7,,L99DF,99DF,,L9C27,9C27,,L9E89,9E89
L9514,9514,,L97C0,97C0,,L99E8,99E8,,L9C3E,9C3E,,L9E8D,9E8D
L951B,951B,,L97CA,97CA,,L99EE,99EE,,L9C5A,9C5A,,L9E91,9E91
L9522,9522,,L97D3,97D3,,L99F2,99F2,,L9C5B,9C5B,,L9E95,9E95
L9536,9536,,L97DE,97DE,,L9A09,9A09,,L9C62,9C62,,L9E99,9E99
L953B,953B,,L97EB,97EB,,L9A0B,9A0B,,L9C7A,9C7A,,L9EA3,9EA3
L9542,9542,,L9808,9808,,L9A12,9A12,,L9C92,9C92,,L9EDF,9EDF
L9552,9552,,L980C,980C,,L9A32,9A32,,L9CC6,9CC6,,L9EE9,9EE9
L9559,9559,,L9816,9816,,L9A37,9A37,,L9CCB,9CCB,,L9EFD,9EFD
L955A,955A,,L9822,9822,,L9A39,9A39,,L9CD1,9CD1,,L9F11,9F11
L955D,955D,,L9823,9823,,L9A43,9A43,,L9CD3,9CD3,,L9F31,9F31
L956C,956C,,L982E,982E,,L9A5C,9A5C,,L9CDD,9CDD,,L9F5B,9F5B
L9576,9576,,L9831,9831,,L9A6D,9A6D,,L9CF4,9CF4,,L9F66,9F66
L9578,9578,,L9839,9839,,L9A8B,9A8B,,L9CFC,9CFC,,L9F68,9F68
L9579,9579,,L983D,983D,,L9A9A,9A9A,,L9D21,9D21,,L9F7A,9F7A
L957B,957B,,L983E,983E,,L9A9F,9A9F,,L9D4C,9D4C,,L9F85,9F85
L9581,9581,,L9842,9842,,L9AAD,9AAD,,L9D4F,9D4F,,L9F87,9F87
L9598,9598,,L9843,9843,,L9AAF,9AAF,,L9D57,9D57,,L9F8F,9F8F
L959A,959A,,L9847,9847,,L9AB2,9AB2,,L9D59,9D59,,L9F9A,9F9A
L95A2,95A2,,L9848,9848,,L9AC0,9AC0,,L9D61,9D61,,L9FA3,9FA3
L95AA,95AA,,L984C,984C,,L9AC3,9AC3,,L9D69,9D69,,L9FA6,9FA6
L95AC,95AC,,L984D,984D,,L9ACD,9ACD,,L9D6C,9D6C,,L9FA7,9FA7
L95CF,95CF,,L9851,9851,,L9AD0,9AD0,,L9D6D,9D6D,,L9FB4,9FB4
L95F7,95F7,,L9852,9852,,L9AE7,9AE7,,L9D72,9D72,,L9FB5,9FB5
L95FB,95FB,,L985D,985D,,L9AEB,9AEB,,L9D7B,9D7B,,L9FD4,9FD4
L9600,9600,,L9864,9864,,L9AF2,9AF2,,L9D82,9D82,,L9FDF,9FDF
L9607,9607,,L986E,986E,,L9AFA,9AFA,,L9D83,9D83,,L9FE2,9FE2
L9609,9609,,L9873,9873,,L9AFF,9AFF,,L9D87,9D87,,L9FF8,9FF8
L960F,960F,,L9877,9877,,L9B15,9B15,,L9D8C,9D8C,,LA0E2,A0E2
L9616,9616,,L9884,9884,,L9B18,9B18,,L9D8F,9D8F,,LA171,A171
L962E,962E,,L9890,9890,,L9B1F,9B1F,,L9D92,9D92,,LA176,A176
L9650,9650,,L9894,9894,,L9B22,9B22,,L9D98,9D98,,LA282,A282
L966C,966C,,L989B,989B,,L9B2B,9B2B,,L9DA9,9DA9,,LA35F,A35F
L966D,966D,,L98A1,98A1,,L9B49,9B49,,L9DB6,9DB6,,LA3ED,A3ED
L967F,967F,,L98A7,98A7,,L9B57,9B57,,L9DBD,9DBD,,LA406,A406
L9687,9687,,L98B1,98B1,,L9B5A,9B5A,,L9DC3,9DC3,,LA429,A429
L96BD,96BD,,L98CC,98CC,,L9B5F,9B5F,,L9DC4,9DC4,,LA42D,A42D
L96CB,96CB,,L98D7,98D7,,L9B64,9B64,,L9DC7,9DC7,,LA444,A444
L96D4,96D4,,L98E8,98E8,,L9B72,9B72,,L9DC8,9DC8,,LA44C,A44C
L96DB,96DB,,L98EB,98EB,,L9B80,9B80,,L9DCB,9DCB,,LA491,A491
L96E6,96E6,,L98F2,98F2,,L9B83,9B83,,L9DDC,9DDC,,LA498,A498
L96EC,96EC,,L990A,990A,,L9B88,9B88,,L9DE8,9DE8,,LA505,A505
L9706,9706,,L9931,9931,,L9B8C,9B8C,,L9DF2,9DF2,,LA578,A578
LA59A,A59A,,LB4F3,B4F3,,PAINT,98EC,,V4D,004D,,,
LA5A5,A5A5,,LB50F,B50F,,PCLEAR,968B,,VARPTR,86BE,,,
LA5AE,A5AE,,LB518,B518,,PCLS,9532,,VALTMP,0006,,,
LA5C7,A5C7,,LB51A,B51A,,PCOPY,9723,,VARDES,003B,,,
LA5E4,A5E4,,LB56D,B56D,,PIA0,FF00,,VARPTR,0039,,,
LA616,A616,,LB643,B643,,PIA1,FF20,,VARTAB,001B,,,
LA619,A619,,LB654,B654,,PLAY,9A22,,VCB,00CB,,,
LA635,A635,,LB657,B657,,PLYTMR,00E3,,VCD,00CD,,,
LA644,A644,,LB659,B659,,PMOD,9621,,VCF,00CF,,,
LA648,A648,,LB69B,B69B,,PMODE,00B6,,VD1,00D1,,,
LA65F,A65F,,LB6A4,B6A4,,POS,86AC,,VD3,00D3,,,
LA7D8,A7D8,,LB6AD,B6AD,,PPOINT,9339,,VD4,00D4,,,
LA7E9,A7E9,,LB70E,B70E,,PRESET,9365,,VD5,00D5,,,
LA7F4,A7F4,,LB734,B734,,PSET,9361,,VD6,00D6,,,
LA974,A974,,LB738,B738,,PUT,9758,,VD7,00D7,,,
LA976,A976,,LB73D,B73D,,RELFLG,000A,,VD8,00D8,,,
LA9A2,A9A2,,LB740,B740,,RENUM,8A09,,VD9,00D9,,,
LA9BB,A9BB,,LB7C2,B7C2,,RESET,FFFE,,VDA,00DA,,,
LAC1E,AC1E,,LB958,B958,,RESSGN,0062,,VERBEG,00BF,,,
LAC33,AC33,,LB95C,B95C,,RSTVEC,0072,,VERDEF,00C9,,,
LAC46,AC46,,LB99F,B99F,,RVEC15,018B,,VEREND,00C5,,,
LAC60,AC60,,LB9AC,B9AC,,RVEC17,0191,,VOLHI,00DF,,,
LAC73,AC73,,LB9AF,B9AF,,RVEC18,0194,,VOLLOW,00E0,,,
LAC7C,AC7C,,LB9B4,B9B4,,RVEC19,0197,,WCOLOR,00B4,,,
LACA8,ACA8,,LB9B9,B9B9,,RVEC20,019A,,XBWMST,80C0,,,
LACEF,ACEF,,LB9C2,B9C2,,RVEC22,01A0,,XIRQSV,894C,,,
LACF1,ACF1,,LBA1C,BA1C,,RVEC23,01A3,,XVEC15,8846,,,
LAD01,AD01,,LBA3A,BA3A,,RVEC3,0167,,XVEC17,88F0,,,
LAD19,AD19,,LBA92,BA92,,RVEC4,016A,,XVEC18,829C,,,
LAD21,AD21,,LBACA,BACA,,RVEC8,0176,,XVEC19,87E5,,,
LAD26,AD26,,LBB48,BB48,,RVEC9,0179,,XVEC20,82B9,,,
LAD33,AD33,,LBB5C,BB5C,,SAM,FFC0,,XVEC23,8304,,,
LAD9E,AD9E,,LBB6A,BB6A,,SCALE,00E9,,XVEC3,8273,,,
LADC6,ADC6,,LBB82,BB82,,SCREEN,9670,,XVEC4,8CF1,,,
LADD4,ADD4,,LBB8F,BB8F,,SETFLG,00C2,,XVEC8,8286,,,
LADEB,ADEB,,LBC14,BC14,,SQR,8480,,XVEC9,8E90,,,
LAE15,AE15,,LBC2F,BC2F,,STRINOUT,B99C,,ZERO,008A,,,
LAED2,AED2,,LBC35,BC35,,SYNCOMMA,B26D,,,,,,
LAEE0,AEE0,,LBC4C,BC4C,,TAN,8381,,,,,,
LAF67,AF67,,LBC5F,BC5F,,TEMPO,00E2,,,,,,
LAFA4,AFA4,,LBC6D,BC6D,,TEMPTR,000F,,,,,,
LB035,B035,,LBCA0,BCA0,,TIMER,8968,,,,,,
LB141,B141,,LBCC8,BCC8,,TIMOUT,00E7,,,,,,
LB143,B143,,LBD99,BD99,,TIMVAL,0112,,,,,,
LB146,B146,,LBDC5,BDC5,,TINPTR,002F,,,,,,
LB156,B156,,LBDCC,BDCC,,TMPSTK,00DC,,,,,,
LB158,B158,,LBDD9,BDD9,,TRCFLG,00AF,,,,,,
LB244,B244,,LBEE9,BEE9,,TROFF,86A8,,,,,,
LB262,B262,,LBEF0,BEF0,,TRON,86A7,,,,,,
LB267,B267,,LBEFF,BEFF,,TXTTAB,0019,,,,,,
LB26A,B26A,,LBF78,BF78,,USR0,013E,,,,,,
LB26F,B26F,,LBFA6,BFA6,,USRADR,00B0,,,,,,
LB277,B277,,LC002,C002,,V40,0040,,,,,,
LB284,B284,,LINBUF,02DC,,V41,0041,,,,,,
LB2CE,B2CE,,LINE,93BB,,V43,0043,,,,,,
LB357,B357,,LOG,8446,,V45,0045,,,,,,
LB35C,B35C,,MEMSIZ,0027,,V47,0047,,,,,,
LB3A2,B3A2,,NOTELN,00E1,,V4A,004A,,,,,,
LB44A,B44A,,OCTAVE,00DE,,V4B,004B,,,,,,
